LattesID;CoordenadorCitado;AnoInicio;AnoFim;Titulo;Assunto
7224163454715504;Jorge Ferreira da Silva;2009;2017;METARIO - Rede de pesquisa e formação docente em metaversos: desenvolvimento de competências para a docência em administração;metaverso
5877338921329207;Luciana Backes;2014;2016;Os espaços híbridos nos processos de ensinar e de aprender: a presença e a copresença no viver e conviver;metaverso
5877338921329207;Ana Margô Mantovani;2012;2015;O desenvolvimento de novas competências dos educadores da área de gestão no contexto do hibridismo tecnológico digital.;metaverso
3402056676199307;Carlos Pernisa Júnior;2022;Atual;Ambientes narrativos imersivos sonoros;metaverso
6708662950964;;2023;Atual;AVATARES DIGITAIS DE MARCAS BRASILEIRAS EM METAVERSOS:  a percepção dos consumidores de moda sobre a corporeidade virtual;metaverso
41121834612355;Amarolinda Zanela Saccol;2009;2014;METARIO Rede de Pesquisa e Formação Docente em Metaversos: Desenvolvimento de Competências para a docência em Administração;metaverso
6301625161386664;Luciana Backes;2014;2016;Os espaços híbridos nos processos de ensinar e de aprender: a presença e a copresença no viver e conviver;metaverso
6301625161386664;Luciana Backes;2012;2014;Acoplamento Estrutural no Hibridismo Tecnológico Digital: desenvolvimento e inovação nas instituições de ensino para formação de gestores educacionais e educadores;metaverso
6301625161386664;Eliane Schlemmer;2010;2013;Anatomia no metaverso Second Life: uma proposta em i-Learning;metaverso
8100404916721779;Katia Augusta Maciel;2019;Atual;Storytelling em Realidades Estendidas (XR);metaverso
9933939386282163;Luís Carlos Petry;2011;2011;O conceito de game acadêmico e a exploração de puzzles em engines tridimensionais;metaverso
7550820294257183;;2009;2014;Projeto CAPES No. 1299/2009 - COORDENADORA - METARIO ? Rede de Pesquisa e Formação Docente em Metaversos: Desenvolvimento de Competências para  a docência em Administração;metaverso
9279970444599822;;2020;Atual;TRANSCENDER: METAVERSO COMO RITUAL DE MEMÓRIAS, AFETOS E RESSIGNIFICAÇÃO DA PRESENÇA;metaverso
501764855693100;Érico Marcelo Hoff do Amaral;2013;2014;Utilização de Ambientes Imersivos para Educação - AIEd;metaverso
1736294295596552;Laura Graziela Figueiredo Fernandes Gomes;2022;Atual;Os modos de emergência e existência (dos híbridos) na  internet e suas novas fronteiras;metaverso
2339773434595512;;2013;2014;Desenvolvimento de projetos artísticos no Second Life;metaverso
5391034042353187;;2010;2013;Anatomia no metaverso Second Life: uma proposta em i-Learning;metaverso
9716270626654261;Francisco Petrônio Alencar de Medeiros;2019;2023;Engenharia de Software Educacional;metaverso
3322414202275652;Eduardo de Senzi Zancul;2022;Atual;Modelo de referência para o desenvolvimento de soluções de mobilidade elétrica com base em gestão de incertezas e tecnologias da Indústria 4.0;digital twin
9858319665065036;Juliano Araujo Wickboldt;2020;Atual;PETWIN - Whole-field Digital Twin for production optimization and management;digital twin
5103490322445619;Eduardo de Freitas Rocha Loures;2019;2022;Chamada MCTIC/CNPq Nº 28/2018 ­ Universal/Faixa C: Proposta de um Modelo de Avaliação de Interoperabilidade Organizacional para Empresas do Setor Público e Industrial;digital twin
8226406163217491;Roberto dos Santos Bartholo Junior;2022;Atual;Digital Twin em turismo e patrimônio: As fortalezas de São João e Santa Cruz na entrada da Baía da Guanabara;digital twin
8730750961111658;Leonardo Elizeire Bremermann;2021;2021;Digital Twin Applied on PV Power Plant;digital twin
6820830740393500;Vicente Ferreira de Lucena Junior;2019;2020;Pesquisa e Desenvolvimento de Aplicações Industriais de Digital Twins para Cyber-Physical Systems;digital twin
4019150313777291;Paulo Eigi Miyagi;2021;Atual;Desenvolvimento de digital twin no contexto da Indústria 4.0;digital twin
5572669840008569;Anderson Luis Szejka;2020;Atual;Sistema Inteligente de Previsão e Detecção de Falhas em Processos de Manufatura baseado no Digital Twin e Inteligência Artificial Semântica;digital twin
5641112041037627;Rossana Maria de Castro Andrade;2020;Atual;Angel: IoT e-Health Platform para monitorar e melhorar a qualidade de vida;blockchain
1049090105081864;Noêmia Lazzareschi;2018;Atual;As novas configurações dos mundos do trabalho e suas repercussões sociais;blockchain
260303520888425;Bruno Bogaz Zarpelão;2019;Atual;Aprendizado de Máquina para Detecção de Ciberataques;blockchain
4512074340599645;Umberto Celli Junior;2018;Atual;Grupo de Pesquisa em Direito do Comércio Internacional;blockchain
9844015070032232;;2023;Atual;Desenvolvimento de uma plataforma para negociação de contratos e alinhamento de expectativas ao longo do desenvolvimento colaborativo de produtos com tecnologias disruptivas;blockchain
353331129592565;LEMOS, GUIDO;2019;Atual;GT V4H - Video Síncrono para Teleconsultoria, Teleconsulta e Telediagnóstico em Telessaúde;blockchain
2491891766759477;Carlos José Pereira de Lucena;2019;Atual;Engenharia de Software de Sistemas Multiagentes e as Novas Demandas Tecnológicas;blockchain
6534637358360971;Otto Carlos Muniz Bandeira Duarte;2019;Atual;ACCRUE - SFI: Infraestrutura Avançada e Colaborativa de Pesquisa para Internet do Futuro Segura;blockchain
7652960701727650;Reymard Savio Sampaio de Melo;2021;2022;Integração gêmeo digital e blockchain em projetos de construção;blockchain
2869923054936837;Luis Hernan Contreras Pinochet;2022;Atual;Aplicações do NFT nas novas tendências do atual mercado de moda digital [IC-voluntária];blockchain
5485189907016634;Jorge Renato de Souza Verschoore Filho;2022;Atual;Chamada Universal CNPq/MCTI/FNDCT Nº 18/2021 -  Modelo de governança de rede para a adoção de tecnologias habilitadoras no contexto da indústria da saúde.;blockchain
7302726381067992;Bernardo Machado David;2019;2020;S2LEGDES: Secret Single Leader Election on the Edge of Speed;blockchain
7302726381067992;Bernardo Machado David;2019;Atual;Scalable Proof-of-Stake Blockchain Consensus Protocols;blockchain
7302726381067992;Bernardo Machado David;2018;2019;Efficient Provably Secure Blockchain Protocols and Applications;blockchain
3696299629938135;Miriam Christi Midori Oishi Nemoto;2021;Atual;Percepção dos gestores quanto a adoção do blockchain na cadeia de suprimentos;blockchain
5486578243421803;Ricardo Augusto Rabelo Oliveira;2016;Atual;Automacao para Industria 4.0;blockchain
8463651002688096;Marcelo Duduchi Feitosa;2020;Atual;Tecnologias Digitais em Sistemas Produtivos;blockchain
8587567074814594;Marcos A. Simplicio Jr.;2019;Atual;Amazon Biobank: Blockchain as an enabling technology for the Amazon 4.0;blockchain
8587567074814594;Marcos A. Simplicio Jr.;2019;Atual;USP Blockchain Research Initiative (UBRI)USP Blockchain Research Initiative (UBRI);blockchain
5941653866734201;Bruno José Torres Fernandes;2022;Atual;Utilização de smart contracts em blockchain na esfera jurídica: aplicabilidade e impactos de uma rede permissionada no processo de M&A com Due Diligence.;blockchain
3405035591225053;Renato Pires dos Santos;2017;2020;Aplicações da tecnologia blockchain no aprendizado de Ciências e Matemática;blockchain
6631267110894080;DE SOUZA, JOSÉ NEUMAN;2019;Atual;CUIDA: Confiabilidade e Segurança na Coleta, Armazenamento e Análise de Dados Médicos em Ambientes Computacionais;blockchain
3322255992735977;Joaquim Vinicius Carvalho Assunção;2018;2018;Utilização de Algoritmos Baseados em Blockchain para Aumento da Confiabilidade e Transparência de Sistemas de Votação Eletrônicos;blockchain
1790013583930834;;2019;Atual;SecHygex: Mecanismo Integrado de Autenticação, Autorização e Contabilização para Internet das Coisas em Leitos Hospitalares;blockchain
1207757858897815;Lázaro Eduardo da Silva;2020;2021;PLATAFORMA BLOCKCHAIN PARA RASTREAMENTO DA PRODUÇÃO E COMERCIALIZAÇÃO DO CAFÉ;blockchain
4161777289889227;Juarez Freitas;2017;2020;Direito Administrativo da Regulação e Inovações Tecnológicas de ponta;blockchain
3272159643458627;de Souza, José Neuman;2019;Atual;CUIDA: Confiabilidade e Segurança na Coleta, Armazenamento e Análise de Dados Médicos em Ambientes Computacionais;blockchain
6720552935529976;Juliana Oliveira Domingues;2018;Atual;Concorrência, Inovação e Fashion Law;blockchain
5326223719623265;Leonardo Lima Gomes;2017;2020;Novo Mecanismo de Contratação de Energia em uma Bolsa utilizando Blockchains e Metodologia Inovadora de Marcação a Mercado com Garantias Multilaterais;blockchain
2787725227134746;Otto Carlos Muniz Bandeira Duarte;2019;Atual;ACCRUE - SFI: Infraestrutura Avançada e Colaborativa de Pesquisa para Internet do Futuro Segura;blockchain
6874544707185541;Gilson Schwartz;2022;Atual;Venturing into the Metaverse: applications & underlying technical, economical and legal aspects;blockchain
6874544707185541;Marcos Antonio Simplicio Junior;2021;Atual;Segurança com confiança-zero: algoritmos, protocolos e arquiteturas;blockchain
6874544707185541;;2021;Atual;USP Coin;blockchain
6874544707185541;Marcos Antonio Simplicio Junior;2019;2020;Viabilidade da tecnologia DLT (Distributed Ledger Technology) no ecossistema de saúde do estado de São Paulo;blockchain
6874544707185541;;2019;Atual;Amazon Biobank: Blockchain as an enabling technology for the Amazon 4.0;blockchain
6874544707185541;Marcos Antonio Simplicio Junior;2019;Atual;USP Blockchain Research Initiative (UBRI);blockchain
4205779497458915;;2022;Atual;Sistemas de Gestão e Suporte aos Veículos Elétricos Compartilhados da UFF;blockchain
4205779497458915;;2022;Atual;Novos Mecanismos para Gestão e Controle de Aplicações IoT com Multimídia, Segurança e Qualidade de Serviço;blockchain
4205779497458915;Célio Vinicius Neves Albuquerque;2020;Atual;MEGACHAIN: Blockchain para Integração, Privacidade e Auditoria de Sistemas de Megacidades;blockchain
