CoordenadorID;Nome;Afiliacao;RefID;RefNome;Estado
3355338790654065;Veronica Teichrieb;Universidade Federal de Pernambuco, UFPE, Brasil.;4321649532287831;Verônica Teichrieb;Pernambuco
7532050172035129;Judith Kelner;Universidade Federal de Pernambuco, UFPE, Brasil.;4321649532287831;Judith Kelner;Pernambuco
0649930882307115;Francisco Carlos de Mattos Brito Oliveira;Universidade Estadual do Ceará, UECE, Brasil.;649930882307115;Francisco Carlos de Mattos Brito Oliveira;Ceará
8901320181295016;Romero Tori;Universidade de São Paulo, USP, Brasil.;813823100105934;Romero Tori;São Paulo
4340581249924621;Rosa Monteiro Paulo;Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.;4340581249924621;Rosa Monteiro Paulo;Pernambuco
4794107935753176;Alvaro Joao Magalhaes de Queiroz;Universidade Federal de Juiz de Fora, UFJF, Brasil.;4794107935753176;Alvaro Joao Magalhaes de Queiroz;Minas Gerais
3767009717402045;Alexandre Cardoso;Universidade Federal de Uberlândia, UFU, Brasil.;3767009717402045;Alexandre Cardoso;Minas Gerais
9801031941805250;Alcimar Barbosa Soares;Universidade Federal de Uberlândia, UFU, Brasil.;9801031941805250;Alcimar Barbosa Soares;Minas Gerais
4006878042502781;Andre Schneider de Oliveira;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;4006878042502781;Andre Schneider de Oliveira;Paraná
4791589931798048;Esteban Walter Gonzalez Clua;Universidade Federal Fluminense, UFF, Brasil.;4791589931798048;Esteban Walter Gonzalez Clua;Rio de Janeiro
3191129244573056;Sandro Roberto Fernandes;Instituto Federal do Sudeste de Minas Gerais, IF SUDESTE MG, Brasil.;3191129244573056;Sandro Roberto Fernandes;Minas Gerais
0584425766553916;Giovanna Graziosi Casimiro;Laboratório de Arte contemporanea, Tecnolodia e Mídias Digitias, LABART, Brasil.;584425766553916;Giovanna Graziosi Casimiro;Rio Grande do Sul
6001559184049370;Mirella de Medeiros Misi;Universidade Federal da Bahia, UFBA, Brasil.;6001559184049370;Mirella de Medeiros Misi;Bahia
3827444548540732;Adilson Vahldick;Universidade do Estado de Santa Catarina, UDESC\CEAVI, Brasil.;3827444548540732;Adilson Vahldick;Santa Catarina
0110284367744326;Edson Roberto Minatel;Ablevision Sistemas Computacionais Ltda, ABLEVISION, Brasil.;9844015070032232;Edson Minatel;São Paulo
0992498795960159;Eunice Pereira dos Santos Nunes;Universidade Aberta do Brasil, UAB, Brasil.;8064558616443413;Eunice Pereira dos Santos Nunes;Mato Grosso
4186515742605446;Victor Hugo Costa de Albuquerque;Universidade Federal do Ceará, UFC, Brasil.;4186515742605446;Victor Hugo Costa de Albuquerque;Ceará
0116830050245232;Paulo Roberto Boa Sorte Silva;Universidade Federal de Sergipe, UFS, Brasil.;116830050245232;Paulo Roberto Boa Sorte Silva;Sergipe
5458829100371043;Regina Coeli Ruschel;Universidade Estadual de Campinas, UNICAMP, Brasil.;409865244128616;Regina Coeli Ruschel;São Paulo
4465619366143200;Mylene Christine Queiroz de Farias;Universidade de Brasília, UnB, Brasil.;4465619366143200;Mylene Christine Queiroz de Farias;Distrito Federal
2259041691301555;Marcelo da Silva Hounsell;Universidade do Estado de Santa Catarina, UDESC, Brasil.;48790978449306;Marcelo da Silva Hounsell;Santa Catarina
6620664028434195;Luis Fernando Soares;Universidade Federal de São João Del-Rei, UFSJ, Brasil.;4611623889620565;Luis Fernando Soares;Pernambuco
2413369452452350;Liz Carmem Silva-Pereira;Instituto Federal de Educação, Ciência e Tecnologia do Pará, Campus Itaitub, IFPA, Brasil.;2413369452452350;Liz Carmem Silva-Pereira;Pará
1584574231456379;Breno Maciel Souza Reis;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;1584574231456379;Breno Maciel Souza Reis;Rio Grande do Sul
3860172079417937;Adriane Borda Almeida da Silva;Universidade Federal de Pelotas, UFPEL, Brasil.;7229833456758124;Adriane Borda Almeida da SIlva;Rio Grande do Sul
6495915655298176;Adriana Gomes Alves;Universidade do Vale do Itajaí, UNIVALI, Brasil.;6495915655298176;Adriana Gomes Alves;Santa Catarina
3196052576107598;Saul Emanuel Delabrida Silva;University of South Australia, UNISA, Austrália.;3196052576107598;Saul Emanuel Delabrida Silva;
6817254319412151;Polise Moreira De Marchi;Fundação Armando Álvares Penteado, FAAP, Brasil.;6817254319412151;Polise Moreira De Marchi;São Paulo
6919473605146182;Fabio Pinto da Silva;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;6919473605146182;Fabio Pinto da Silva;Rio Grande do Sul
5734518155680206;Mariana Pohlmann de Oliveira;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;6919473605146182;Mariana Pohlmann de Oliveira;Rio Grande do Sul
2746290295878975;Kate Mamhy Oliveira Kumada;Universidade Federal do ABC, UFABC, Brasil.;2746290295878975;Kate Mamhy Oliveira;São Paulo
5123696681613759;Tania Rossi Garbin;Universidade Federal de Ouro Preto, UFOP, Brasil.;8362852284802251;Tânia Rossi Garbin;Minas Gerais
2343273642042806;Márcia Regina de Freitas;UNESP Guaratinguetá, FEG, Brasil.;2343273642042806;Márcia Regina de Freitas;São Paulo
5391034042353187;Eliane Schlemmer;Universidade Aberta de Portugal, UAB-PORTUGAL, Portugal.;1572779834379796;Eliane Schlemmer;
3381049256541106;Marcelo Gitirana Gomes Ferreira;Universidade do Vale do Itajaí, UNIVALI, Brasil.;3381049256541106;Marcelo Gitirana Gomes Ferreira;Santa Catarina
2125238602476950;Simone Keller Füchter;Faculdade Estacio de Sa, ESTACIO, Brasil.;2125238602476950;Simone Keller Füchter;Rio de Janeiro
1744732999336375;Windson Viana de Carvalho;Universidade Federal do Ceará, UFC, Brasil.;1744732999336375;Windson Viana de Carvalho;Ceará
0453892715674953;Flávio de Barros Vidal;Universidade de Brasília, UnB, Brasil.;453892715674953;Flávio de Barros Vidal;Distrito Federal
8243001226255815;Pablo Alexandre Gobira de Souza Ricardo;Universidade do Estado de Minas Gerais, UEMG, Brasil.;8243001226255815;Pablo Alexandre Gobira de Souza Ricardo;Minas Gerais
9999217523842385;Eliane Pozzebon;Universidade Federal de Santa Catarina, UFSC, Brasil.;9999217523842385;Eliane Pozzebon;Santa Catarina
8655724197142007;Josete Mazon;Universidade Federal de Santa Catarina, UFSC, Brasil.;9999217523842385;Josete Mazon;Santa Catarina
0326014908040698;Renata Lacerda Caldas;Instituto Federal Fluminense, IFF, Brasil.;326014908040698;Renata Lacerda Caldas;Rio de Janeiro
0141389002346917;Rejane Caetano Augusto Cantoni;Programa de Posgrado Online en Artes Mediales, PPOAM, Argentina.;141389002346917;Rejane Caetano Augusto Cantoni;
1882712230914196;Antonio Carlos Sementille;Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.;8626964624628522;Antonio Carlos Sementille;Pernambuco
3554024776201116;Liliane da Silva Coelho Jacon;Universidade Federal de Rondônia, UNIR, Brasil.;3554024776201116;Liliane da Silva Coelho Jacon;Rondônia
6165964080419504;Josyanne Pinto Giesta;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte, IFRN, Brasil.;6165964080419504;Josyanne Pinto Giesta;Rio Grande do Norte
8487981600635230;Cesar Reis;Universidade Federal de Viçosa, UFV, Brasil.;152834093913136;César Reis;Minas Gerais
1553616454067748;César Imai;Universidade Estadual de Londrina, UEL, Brasil.;4778641486908033;CÉSAR IMAI;Paraná
7143571029793493;Stephanie Kamarry Alves de Sousa;Instituto Federal de Sergipe, IFS, Brasil.;7143571029793493;Stephanie Kamarry Alves de Sousa;Sergipe
5515322256604194;Marcio Augusto Reolon Schmidt;Universidade Federal de Uberlândia, UFU, Brasil.;5515322256604194;Marcio Augusto Reolon Schmidt;Minas Gerais
5752128941340564;Edgar Roberto Kirchof;Universidade Luterana do Brasil, ULBRA, Brasil.;5752128941340564;Edgar Roberto Kirchof;Rio Grande do Sul
7887916265742855;Glaucia Nolasco de Almeida Mello;Pontifícia Universidade Católica de Minas Gerais, PUC Minas, Brasil.;7887916265742855;Glaucia Nolasco de Almeida Mello;Minas Gerais
6813786273390182;Tales Nereu Bogoni;Universidade Estadual de Mato Grosso, UNEMAT, Brasil.;3010497094377497;Tales Nereu Bogoni;Mato Grosso
9405118016902400;Edna de Mello Silva;Universidade Federal de São Paulo, UNIFESP, Brasil.;9405118016902400;Edna de Mello Silva;São Paulo
5998752909180697;Alyson de Jesus dos Santos;Instituto Federal de Educação, Ciência e Tecnologia do Amazonas, IFAM, Brasil.;5998752909180697;Alyson de Jesus dos Santos;Amazonas
3122373875381348;Larissa Cristina Cruz Brum;Instituto Federal Fluminense, IFF, Brasil.;3122373875381348;Larissa Cristina Cruz Brum;Rio de Janeiro
4226175401428037;Mônica Rocha Ferreira de Oliveira;Universidade do Estado de Minas Gerais, UEMG, Brasil.;4226175401428037;Mônica Rocha Ferreira de Oliveira;Minas Gerais
1934903225521860;Francisco Madeiro Bernardino Junior;Universidade Católica de Pernambuco, UNICAP, Brasil.;1934903225521860;Francisco Madeiro Bernardino Junior;Pernambuco
0148962230603842;Marcus Vinícius Liessem Fontana;Universidade Federal da Fronteira Sul, UFFS, Brasil.;148962230603842;Marcus Vinícius Liessem Fontana;Santa Catarina
2087785677186785;Isabel Dillmann Nunes;Universidade Federal do Rio Grande do Norte, UFRN, Brasil.;2087785677186785;Isabel Dillmann Nunes;Rio Grande do Norte
4394162331037750;Alberto Barbosa Raposo;Pontifícia Universidade Católica do Rio de Janeiro, PUC-Rio, Brasil.;4394162331037750;Alberto Barbosa Raposo;Rio de Janeiro
3309342336039521;Ney Laert Vilar Calazans;Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq, Brasil.;4394162331037750;Ney Calazans;Distrito Federal
1900481113982922;Raphael Pereira de Oliveira;Universidade Federal de Sergipe, UFS, Brasil.;1900481113982922;Raphael Pereira de Oliveira;Sergipe
0555490225765351;Sergio da Costa Nunes;Instituto Federal de Educação Ciência e Tecnologia Sul-rio-grandense, IFSUL, Brasil.;555490225765351;Sergio da Costa Nunes;Rio Grande do Sul
9202801399600456;Jorge Antonio Silva Centeno;Universidade Federal do Paraná, UFPR, Brasil.;9202801399600456;Jorge Antonio Silva Centeno;Paraná
8795066026611788;Maurício José Laguardia Campomori;Universidade Federal de Minas Gerais, UFMG, Brasil.;8795066026611788;Maurício José Laguardia Campomori;Minas Gerais
8933624812566216;Ingrid Winkler;SENAI - Departamento Regional da Bahia, SENAI/DR/BA, Brasil.;5034444360451621;Ingrid Winkler;Bahia
9756167788721062;Nelson Cruz Sampaio Neto;Universidade Federal do Pará, UFPA, Brasil.;9756167788721062;Nelson Cruz Sampaio Neto;Pará
