lattes id;coordenador;ano inicio;ano fim;titulo;tipo
7146743799532788;Jose Marcos Camara Brito;2021;2022;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
7399179037419892;Yuri Carvalho Barbosa Silva;2022;Atual;CNPq DT: Otimização de Sistemas MIMO 6G: Comunicações Centradas no Usuário e Superfı́cies Inteligentes;6G
7399179037419892;Yuri Carvalho Barbosa Silva;2022;Atual;PIBIC 2022/2023: Aplicação de comunicações cell-free a novos cenários em sistemas 6G;6G
6825512654223870;José Marcos Câmara Brito;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2022;Atual;Inteligência Artificial para Otimização de Recursos de Redes de Próxima Geração em Cenários Estratégicos;6G
1596629769697284;None;2022;Atual;UFA29-Automação Fim-a-Fim de Redes 6G via Inteligência Artificial, Gêmeos Digitais e Interfaces Padronizadas;6G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2021;Atual;UFA26-Automação de Redes 6G Fim-a-Fim via Inteligência Artificial;6G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2021;Atual;UFA27-Algoritmos Inteligentes e Distribuídos para Camada Física de Sistemas 6G;6G
2039871642254009;Zattar;2020;2022;UM ESTUDO E MONITORAMENTO DE RADIAÇÕES ELETROMAGNÉTICAS NÃO IONIZANTES EM AMBIENTES POPULACIONAIS;6G
2039871642254009;Zattar;2020;2022;O ESTUDO DA ARTE DA TECNOLOGIA CELULAR 6G: TECNOLOGIAS, DESAFIOS E OS RISCOS;6G
1301443198267856;None;2022;Atual;Comunicações 6G: desafios, viabilidade, tendências, arquitetura e avaliação de desempenho;6G
3987091765361506;None;2022;Atual;Estudo, Proposta e Avaliação de Superfícies Refletoras Inteligentes e OpenRAN em Redes 6G;6G
9492423249629649;Luciano Leonel Mendes;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
6238219709706103;José Marcos Câmara Brito;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
6238219709706103;None;2018;Atual;Avaliação do desvanecimento na faixa de ondas milimétricas (mm-Wave);6G
0268732896111424;José MArcos Câmara Brito;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
3897149135862523;None;2012;Atual;Desenvolvimento de Métodos em Estrutura Eletrônica: Construção de Bases Atômicas e Moleculares com o Método GSA;6G
8709809037223235;Taufik Abrão;2022;Atual;Eficiência, Confiabilidade e Conectividade em Sistemas B5G: M-MIMO, XL-MIMO e RIS. Edital 09/2021 - PBA 2021 Fundação Araucária PR;6G
8709809037223235;Taufik Abrão;2022;Atual;Eficiência, Confiabilidade e Conectividade em Sistemas 5G e 6G: XL-MIMO, RIS, Cell-Free, Acesso Aleatório e Aprendizagem de Máquinas.  Edital UNIVERSAL - MCTI/CNPq No. 18/2021 Faixa B ? Grupos Consolidados;6G
3190608911887258;lLuciano Leonel Mendes;2021;Atual;BRASIL 6G;6G
8029022476354938;Marcio Andre Rodrigues Cavalcanti de Alencar;2017;Atual;Aplicação de cerâmicas porosas na geração de emissão laser aleatório;6G
7227781646829609;Luciano Leonel Mendes;2022;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6ª Geração ? Projeto Brasil 6G;6G
1703406475581759;Luciano L. Mendes;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
6177045546956476;Diogo Menezes Ferrazani Mattos;2022;Atual;SmartSecNets: Segurança Inteligente para Redes de Próxima Geração;6G
6177045546956476;Diogo Menezes Ferrazani Mattos;2020;Atual;InovaNet: Cadeia de Blocos, Inteligência Artificial e Internet das Coisas para Inovação em Redes de Computadores.;6G
0239752189917951;Silvania Lanfredi;2022;Atual;Heteroestruturas Baseadas em Niobatos de Sódio e Potássio para a Remediação Ambiental;6G
0239752189917951;Silvania Lanfredi;2020;Atual;Heteroestruturas Baseadas em Niobatos para a Remediação de Contaminantes Orgânicos;6G
0239752189917951;PRAXEDES, FABIANO R.;2019;Atual;Heteroestruturas de Niobato de Sódio e Potássio dopadas com Tungstênio e Nitrogênio para a Remediação de Contaminantes Orgânicos;6G
3386409577930822;None;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
8623512462352869;Luciano Leonel Mendes;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
8623512462352869;Antônio Marcos Alberti;2019;Atual;Convergência de Tecnologias Disruptivas, Análise de Desempenho e Impactos;6G
3148813459575445;Kleber Vieira Cardoso;2021;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6 Geração - Projeto Brasil 6G;6G
2658002010026792;Cristiano Bonato Both;2022;Atual;Projeto de Pesquisa e Desenvolvimento Tecnológico em Sistemas de Comunicações Móveis de 6a Geração ? Projeto Brasil 6G);6G
