lattes id;coordenador;ano inicio;ano fim;titulo;tipo
8037333519971234;Daniel Furtado Leite;2022;Atual;Optimal Granular Computing from Evolving Data Streams: Toward Explainable AI;Artificial Intelligence
7707799028683443;Austin Tate;2006;2006;Infrastructure Development for a London-based Disaster Test Scenario;Artificial Intelligence
9674541381385819;None;2019;Atual;Artificial Intelligence for Sustainable Project Management;Artificial Intelligence
2562652838103607;Patrícia Augustin Jaques Maillard;2018;2019;Evaluating the Impact of Social Attitudes of Virtual Characters in Intelligent Learning Environments;Artificial Intelligence
7737220048653389;Marcos de Sales Guerra Tsuzuki;2013;2013;11th IFAC Workshop on Intelligent Manufacturing Systems;Artificial Intelligence
9073478192027867;Wesley Pacheco Calixto;2017;2022;Optimization process applied to the text translation transceiver system;Artificial Intelligence
8760691456576488;None;2020;Atual;Accuracy of artificial intelligence tools for detection and classification of ameloblastomas and keratocysts: A systematic review and meta-analysis;Artificial Intelligence
8041183668335400;Manuel Iori;2022;Atual;Intelligent algorithms for scheduling problems in the healthcare area;Artificial Intelligence
3549648389944031;Thiago A S Pardo;2020;Atual;POrtuguese processing - Towards Syntactic Analysis and parsing (POeTiSA) in the Center for Artificial Intelligence (C4AI);Artificial Intelligence
2331700004828549;Fabio Gagliardi Cozman;2020;Atual;C4AI - Centro de Inteligência Artificial / Center for Artificial Intelligence;Artificial Intelligence
8825252769988113;Rafael Heitor Bordini;2013;Atual;SMART - Sistemas Multiagentes, Robótica e Tecnologias Semânticas;Artificial Intelligence
2854855744345507;João Marcos Travassos Romano;2021;Atual;[Fapesp-MCTIC-CGI.br] BI0S - Brazilian Institute of Data Science;Artificial Intelligence
4796921913434370;Luciano da Fontoura Costa;1999;2001;Synergos - Synergetic Vision Research;Artificial Intelligence
1097952760431187;Felipe Maia Galvão França;2018;Atual;Exploring In-Situ Computing of Al and/or Dataflow Engines;Artificial Intelligence
8626964624628522;Fabio Gagliardi Cozman;2020;Atual;Centro de Inteligência Artificial;Artificial Intelligence
9602595921182966;Diego Marconi Pinheiro Ferreira Silva;2020;2023;Optimal Health Literacy Interventions to Increase TTR Amyloidosis Awareness among Physicians using Artificial Intelligence and Social Media;Artificial Intelligence
9602595921182966;Diego Marconi Pinheiro Ferreira Silva;2019;Atual;Development of health-literacy interventions using artificial intelligence and social media;Artificial Intelligence
5460307130424953;Edson Satoshi Gomi;2020;Atual;Centro de Inteligência Artificial;Artificial Intelligence
5433967267727516;Fábio Gagliardi Cozamn;2020;Atual;Center for Artificial Intelligence (C4AI);Artificial Intelligence
0654596992211296;None;2008;2010;Use of Artificial Intelligence and Geographical Information Systems for endemic diseases risk analysis;Artificial Intelligence
0654596992211296;Corina Freitas;2008;2010;Use of Artificial Intelligence and Geographical Information Systems for endemic diseases risk analysis;Artificial Intelligence
0427387583450747;Ricardo Araújo Rios;2021;2023;Unleashing the power of artificial intelligence to accelerate hemophilia treatment (FY2021 R&D Subsidies Overseas Program);Artificial Intelligence
0427387583450747;Ricardo Araújo Rios;2020;Atual;Face mask detectors in public transportation during the COVID-19 pandemic;Artificial Intelligence
9140990601961322;Luis Gustavo Nonato;2022;Atual;Projeto Temático: Criminality, Insecurity, and Legitimacy: a transdisciplinary approach;Artificial Intelligence
7449349735977862;Paulo Eduardo Santos;2017;Atual;Descrição, representação e solução de jogos espaciais;Artificial Intelligence
9973763236245873;None;2019;Atual;'Improving Decision-Making About Medicare Coverage Decisions: Health Technology Assessment (HTA) and the Law;Artificial Intelligence
4038730280834132;Ig Ibert Bittencourt Santana Pinto;2019;2022;BNU/AICFE - Gamification of Intelligent Learning Environments: A Cross-Cultural Approach;Artificial Intelligence
8801325729735529;Marcelo E. V. Segatto;2019;2022;Optical wireless systems with MIMO architecture in an industrial environment (OWIND);Artificial Intelligence
0978837964647017;Ana Lucia Cetertich Bazzan;1999;2001;SOCIAT: Simulation of Social Agents in Traffic;Artificial Intelligence
2234040548103596;Marjory Cristiany Da Costa Abreu;2019;2025;Exploring Applied Artificial Intelligence;Artificial Intelligence
8098209307634371;Jó Ueyama;2014;2019;[Projeto da Marinha Americana] Using Wireless Sensor Networks and UAVs for Urban River Monitoring: Detecting, Predicting and Mitigating Floods and Pollution;Artificial Intelligence
7853125713114677;Austin Tate;2003;2006;CoSAR-TS - Coalition Search and Rescue - Task Support;Artificial Intelligence
8769928331729891;Sandra Maria Aluísio;2020;Atual;TaRSila: Reconhecimento Automático de Fala e Síntese de Fala no Centro de Inteligência Artificial (C4AI);Artificial Intelligence
8160466619165597;Jorge Nei Brito;2020;Atual;[HOPM-AI] Human-Oriented Predictive  Maintenance via Artificial Intelligence;Artificial Intelligence
8616017152145795;GERARD FAVIER;1989;1992;Desenvolvimento de uma estação de trabalho inteligente em automação: PTIA - Poste de Travail Intelligent pour l'Automatique;Artificial Intelligence
0348490713417429;Renata Wasserman;2003;2005;BIBO Intelligent Search Based on Ontologies;Artificial Intelligence
8754335906813622;Antonio Luiz Pinho Ribeiro;2017;Atual;CODE - Clinical Outcomes in Digital Electrocardiology;Artificial Intelligence
0268732896111424;Christian Esteve Rothenberg;2017;2020;NECOS - Novel Enablers for Cloud Slicing;Artificial Intelligence
5116213374235632;Fábio Gagliardi Cozman;2020;Atual;Center for Artificial Intelligence (C4AI);Artificial Intelligence
3521622923263530;Carvalho, A. C. P. L. F.;2012;Atual;Research Support Center for Machine Learning in Data Analysis - NAP-AMDA;Artificial Intelligence
3475337353676349;None;2017;2019;Stochastic and Reconfigurable Computing Applied to Artificial Intelligence Algorithms;Artificial Intelligence
3475337353676349;None;2017;Atual;Embedded Artificial Intelligent Algorithms optimized for low-power, low-cost and low-size-memory;Artificial Intelligence
3475337353676349;None;2013;Atual;Reconfigurable Computing Applied to Artificial Intelligence Algorithms;Artificial Intelligence
2046569687378636;Itxaso Ruiz;2021;2022;MASBIO - Prácticas de MAnejo Sostenible de la tierra para la preservación de la BIOdiversidad y otros servicios eco-sistémicos en la cuenca del Mijares;Artificial Intelligence
9922863822347014;None;2021;Atual;CPA-IARA - Artificial Intelligence Recreating Urban Spaces;Artificial Intelligence
7078737101024368;Thiago Alexandre Salgueiro Pardo;2020;Atual;POrtuguese processing - Towards Syntactic Analysis and parsing (POeTiSA) in the Center for Artificial Intelligence (C4AI);Artificial Intelligence
8321013081371965;Joberto Sérgio Barbosa Martins;2018;Atual;COMMUNICATION NETWORK RESOURCE ALLOCATION WITH MACHINE LEARNING;Artificial Intelligence
8321013081371965;Joberto Sérgio Barbosa Martins;2016;Atual;SMART SYSTEMS AND APPLICATIONS - SMART CITY AND SMART GRID;Artificial Intelligence
8321013081371965;Joberto Sérgio Barbosa Martins;2012;2016;AUTONOMIC AND COGNITIVE NETWORK MANAGEMENT;Artificial Intelligence
0656885690891670;None;2019;Atual;Caring sciences, responsible innovation and robotics: new challenge for nursing profession;Artificial Intelligence
3718075891395088;Thiago Alexandre Salgueiro Pardo;2021;Atual;POrtuguese processing - Towards Syntactic Analysis and parsing (POeTiSA) in the Center for Artificial Intelligence (C4AI);Artificial Intelligence
8526960535874806;None;2020;Atual;Center for Artificial Intelligence (C4AI);Artificial Intelligence
3790103269421610;José Eduardo Ricciardi Favaretto;2020;Atual;Artificial Intelligence in the research field of Technology and Innovation Management (TIM);Artificial Intelligence
6593918610781356;Ellen Polliana Ramos Souza;2009;2011;Proposta de Melhorias na Abordagem de Teste de Software baseado em Riscos através da utilização de Técnicas de Inteligência Artificial;Artificial Intelligence
5131623419094756;None;2022;Atual;Algorithms for Belief Change (ABC);Artificial Intelligence
5098313138514050;None;2010;2013;Affective Conversational Agents for learning;Artificial Intelligence
1000528740958810;Jorge Luís Machado do Amaral;2021;Atual;PROCIENCIA 2021: SISTEMAS DE INSTRUMENTAÇÃO BASEADOS EM APRENDIZADO PROFUNDO E INTELIGÊNCIA ARTIFICIAL EXPLICÁVEL;Artificial Intelligence
0851148137941240;Ricardo Araújo Rios;2021;Atual;Unleashing the power of artificial intelligence to accelerate hemophilia treatment (FY2021 R&D Subsidies Overseas Program);Artificial Intelligence
8730750961111658;Leonardo Elizeire Bremermann;2021;2021;Digital Twin Applied on PV Power Plant;Artificial Intelligence
5539725123736590;None;1997;1998;FUTEPOLI;Artificial Intelligence
7830251697546483;Fabrício Herpich;2020;2021;FAST.AIML - Ferramenta para Apoiar a Geração de Base de Conhecimento para Chatbots Educacionais;Artificial Intelligence
7830251697546483;TAROUCO, LIANE MARGARIDA ROCKENBACH;2017;Atual;Agente Conversacional;Artificial Intelligence
6177045546956476;Diogo Menezes Ferrazani Mattos;2020;Atual;InovaNet: Cadeia de Blocos, Inteligência Artificial e Internet das Coisas para Inovação em Redes de Computadores.;Artificial Intelligence
9859511150127352;Fabio Gagliardi Cozman;2020;Atual;Centro de Inteligência Artificial;Artificial Intelligence
7396818382676736;None;2020;Atual;Centro de Inteligência Artificial da USP+FAPESP+IBM (Center for AI - C4AI);Artificial Intelligence
4218593188956443;Li Weigang;2015;2018;4D Modeling for Efficient Flight Path with Collaborative Trajectory Option Program for Brazilian Scenarios (4D EFP BR);Artificial Intelligence
5262287389812766;None;2021;Atual;JANET: Joint Lab in Learning Analytics for Personalised Science Teaching;Artificial Intelligence
2472681535872194;Frederico Gadelha Guimarães;2018;2018;Investigating Deep Learning in Image Processing and Graph Databases: Moving from Black-box Devices to Light Gray Ones;Artificial Intelligence
2305603694791405;Fabio Gagliardi Cozman;2019;Atual;Centro de Inteligência Artificial IBM - FAPESP;Artificial Intelligence
2305603694791405;SANTOS, PAULO EDUARDO;2017;2019;Descrição, Representação e Solução de Jogos Espaciais;Artificial Intelligence
1714190463540106;Diego Dermeval Medeiros da Cunha Matos;2018;2019;Newton Fund/CONFAP - FAPEAL - Developing a Brazil/UK Artificial Intelligence in Education research network, focusing on augmenting not replacing teachers;Artificial Intelligence
2704717555047499;Priscila Machado Vieira Lima;2021;Atual;Cidade Universitária Sustentável: AIoT para ações de biossegurança e de gestão de risco em emergências;Artificial Intelligence
2704717555047499;Felipe Maia Galvão França;2018;Atual;Exploring In-situ Computing of AI and/or Dataflow Engines;Artificial Intelligence
0572461479663493;Márcio André Fernandes Martins;2019;2022;AICySPrOC - Artificial Intelligence oriented Cyclic adsorption Separation/reaction Processes Optimization and Control;Artificial Intelligence
8420771612707965;Fabio Cozman;2020;Atual;Center for Artificial Intelligence (C4AI);Artificial Intelligence
6265936760089757;Fabio Gagliardi Cozman;2020;Atual;Center for Artificial Intelligence (C4AI);Artificial Intelligence
2763982530162198;Fabio Gagliardi Cozman;2020;Atual;Center for Artificial Intelligence (C4AI);Artificial Intelligence
2097340857065853;Ali Elkamel;2010;2011;Bayesian Networks applied to Oil and Gas Domain - Emerging Leaders in the Americas Program (2010-2011);Artificial Intelligence
6513212204220783;Glauco Antonio Truzzi Arbix;2020;Atual;Inteligência Artificial e Sociedade;Artificial Intelligence
7400572752663161;None;2018;2019;Newton Fund/CONFAP - FAPEAL - Developing a Brazil/UK Artificial Intelligence in Education research network, focusing on augmenting not replacing teachers;Artificial Intelligence
6613487636748832;Jacques Robin;2006;2007;Reuse-Oriented Automated Reasoning Software (ROARS);Artificial Intelligence
2985771102505330;Antonio Maria Garcia Tommaselli;2021;Atual;SMARTY ? Sustainable Smart Farming: Tropical Agriculture and Forest Production System Global Alliance;Artificial Intelligence
1273134370963830;Fabio Gagliardi Cozman;2020;Atual;Centro de Inteligência Artificial (C4AI);Artificial Intelligence
3923697331385475;Marco Aurélio Chaves Cepik;2022;Atual;INCT INEU - INCT PPED - Digital Futures and Global Power: Southeast Asia and Latin America in Comparative Perspective;Artificial Intelligence
3099010533644898;None;2019;2022;Optical wireless systems with MIMO architecture in an industrial environment (OWIND);Artificial Intelligence
5973550650941724;Felipe Rech Meneguzzi;2016;2017;Prediction model for dispatch behavior;Artificial Intelligence
3477940528349573;Bruno Seravali Moreschi;2019;Atual;GAIA - Grupo de Arte e Inteligência Artificial;Artificial Intelligence
0373570418292111;Paulo Savaget;2017;2019;Technological development and democracy;Artificial Intelligence
2379169013108798;Marcelo Eduardo Vieira Segatto;2019;Atual;PIPC: Optical wireless systems with MIMO architecture in an industrial environment (OWIND);Artificial Intelligence
9519306355864837;Marcus Antônio Viana Duarte;2018;2022;Explainable Artificial Intelligence Approaches for Fault Diagnosis in Rotating Machinery;Artificial Intelligence
4979536048261282;Thiago Alexandre Salgueiro Pardo;2020;Atual;POrtuguese processing - Towards Syntactic Analysis and parsing (POeTiSA) in the Center for Artificial Intelligence (C4AI);Artificial Intelligence
1713208286133403;Paulo Sérgio da Silva;2010;2012;PROJETO TRIENAL - Sistemas de Controle Inteligentes Aplicados ao Pouso de Aeronaves;Artificial Intelligence
2507333666306110;Rodrigo Possamai Bastos;2020;Atual;MultiRad: Evaluation of Space-to-Ground Radiation Effects in Multicore Computing Systems for Safety-Critical Applications;Artificial Intelligence
3451628262694747;Fabio Gagliardi Cozman;2020;Atual;Center for Artificial Intelligence (C4AI);Artificial Intelligence
6811799528297138;Marcelo Pillonetto;2018;Atual;Use of an AI system to determine antimicrobial suceptibility rank for vulnerable patients;Artificial Intelligence
