lattes id;coordenador;ano inicio;ano fim;titulo;tipo
0584425766553916;Giovanna Graziosi Casimiro;2014;Atual;ARt[in]Muzz;Realidade Aumentada
6001559184049370;Mirella de Medeiros Misi;2019;2020;Realidade Aumentada Espacial - Ateliê de Criação (ATO II);Realidade Aumentada
6001559184049370;Mirella de Medeiros Misi;2019;2020;Construção dramatúrgica em ambientes híbridos de Dança Digital: Um estudo empírico sobre a estética interativa;Realidade Aumentada
6001559184049370;Mirella de Medeiros Misi;2018;2019;Realidade Aumentada Espacial - Ateliê de Criação;Realidade Aumentada
3827444548540732;Adilson Vahldick;2022;Atual;Ferramenta de Autoria de Realidade Aumentada na Educação;Realidade Aumentada
9844015070032232;Edson Minatel;2014;2016;X-factory - inovação em processos industriais versáteis com modelo de fábrica inteligente para inclusão produtiva e aumento de competitividade;Realidade Aumentada
8064558616443413;Eunice Pereira dos Santos Nunes;2005;2007;Usando técnicas de realidade aumentada no processo de inclusão digital de crianças hospitalizadas. Cadastrado na Propeq sob número 090/CAP/2005;Realidade Aumentada
4186515742605446;Victor Hugo Costa de Albuquerque;2013;2017;Sistemas inteligentes aplicados na área biomédica;Realidade Aumentada
0116830050245232;Paulo Roberto Boa Sorte Silva;2022;Atual;Inteligência artificial e metaverso nas linguagens e na educação: lugares-comuns da era pós-digital (Fase 2 do projeto guarda-chuva do grupo de pesquisa TECLA);Realidade Aumentada
0116830050245232;Nam Ju Kim;2019;2021;Realidade Aumentada em STEM (Financiamento do Provost Reserach Awards - University of Miami);Realidade Aumentada
0116830050245232;Paulo Roberto Boa Sorte Silva;2018;2021;Tecnologias em sala de aula: o pós-digital em questão (projeto guarda-chuva do grupo de pesquisa TECLA/UFS);Realidade Aumentada
0409865244128616;Regina Coeli Ruschel;2011;2015;Rede Cooperativa de Pesquisa FINEP - TICHIS;Realidade Aumentada
4465619366143200;Mylene Christine Queiroz de Farias;2019;Atual;Qualidade de Experiência em Vídeos Imersivos - Bolsa PQ;Realidade Aumentada
0048790978449306;Marcelo da Silva Hounsell;2011;2012;Metodologia para Software 3D Interativo;Realidade Aumentada
9329438229733907;None;2015;2018;Utilização de Tecnologias Interativas na Educação;Realidade Aumentada
4611623889620565;Luis Fernando Soares;2016;2018;Desenvolvimento e aplicação de e-books interativos;Realidade Aumentada
2413369452452350;Liz Carmem Silva-Pereira;2022;Atual;DESENVOLVIMENTO DE UM APLICATIVO COM REALIDADE AUMENTADA PARA AUXÍLIO NO ENSINO DO CICLO DE REPRODUÇÃO DO MOSQUITO Aedes aegypti.;Realidade Aumentada
1584574231456379;Breno Maciel Souza Reis;2022;Atual;Tecnoexperiências em realidade virtual e aumentada: uma visão sob a perspectiva da comunicação publicitária;Realidade Aumentada
3195170463502606;Veronica Teichrieb;2017;Atual;SGP+ AR: Acompanhamento e Governança de Obras com Realidade Aumentada;Realidade Aumentada
3195170463502606;Veronica Teichrieb;2010;2013;Pesquisa e Desenvolvimento de Ambiente Baseado em Técnicas de Realidade Virtual e Aumentada para Simulação de Processos em Subestações de Energia;Realidade Aumentada
3195170463502606;Veronica Teichrieb;2009;2011;Realidade Aumentada Sem Marcadores com Rastreamento Baseado em Modelo;Realidade Aumentada
3195170463502606;Judith Kelner;2008;2010;TechPetro;Realidade Aumentada
2259041691301555;Marcelo da Silva Hounsell;2007;2010;Uso da tecnologia de realidade virtual para reabilitação motora (DPPG 2023/2007);Realidade Aumentada
7229833456758124;Adriane Borda Almeida da SIlva;2014;Atual;Modela Pelotas IV;Realidade Aumentada
6495915655298176;Adriana Gomes Alves;2018;2018;Desenvolvimento de livro educativo digital interativo utilizando recursos de realidade aumentada;Realidade Aumentada
3196052576107598;BIANCHI, ANDREA G. C.;2019;2020;Estudo e desenvolvimento de um arcabouço para teleoperação avançada de equipamentos de mineração: Monitoramento de Correias Transportadoras - FASE II;Realidade Aumentada
3196052576107598;Saul Emanuel Delabrida Silva;2019;Atual;XR4Good - Realidade Estendida para o bem;Realidade Aumentada
3196052576107598;Saul Emanuel Delabrida Silva;2019;Atual;Avaliação do Uso de Realidade Estendida para processos Industriais: Estudo de caso Correias Transportadoras;Realidade Aumentada
3196052576107598;Saul Emanuel Delabrida Silva;2018;Atual;REALIDADE ESTENDIDA COMO FERRAMENTA PARA ELEVAR O DESEMPENHO ACADÊMICO DE ESTUDANTES;Realidade Aumentada
6817254319412151;Polise Moreira De Marchi;2012;2017;Cidade Aumentada: expandindo e estendendo as camadas informacionais urbanas no espaço e no tempo por meio da realidade mista;Realidade Aumentada
6919473605146182;Fabio Pinto da Silva;2019;Atual;Digitalização 3D associada a Realidade Virtual e Aumentada para a Preservação do Patrimônio Cultural;Realidade Aumentada
6919473605146182;Mariana Pohlmann de Oliveira;2018;Atual;Uso de Realidade Virtual e Realidade Aumentada como facilitadores da aprendizagem de conteúdos das disciplinas de desenho técnico;Realidade Aumentada
