lattes id;coordenador;ano inicio;ano fim;titulo;tipo
0584425766553916;Giovanna Graziosi Casimiro;2014;Atual;ARt[in]Muzz;Realidade Mista
6001559184049370;None;2020;2021;Dança em Realidades Mistas: Práticas, Técnicas e Poéticas;Realidade Mista
6747210702910392;Diego Gervasio Frías Suárez;2009;2011;Construção de Sistemas Multiagentes Reativos para controle de robôs jogadores de futebol;Realidade Mista
8243001226255815;Pablo Alexandre Gobira de Souza Ricardo;2019;2021;Novas realidades: interfaces artísticas e construção de realidades;Realidade Mista
4903908392101557;None;2004;2005;GIGAVR -- Desenvolvimento de uma Infra-Estrutura para Aplicações de Realidade Virtual Distribuída em Tempo Real;Realidade Mista
4903908392101557;Luiz Marcos Garcia Gonçalves;2002;2004;HYPERPRESENCE - Uma Plataforma para Ambientes de Realidade Mista;Realidade Mista
0325157122452319;Marco Antonio Costa Simões;2009;2010;Projeto e Implementação de melhorias nos componentes  do projeto de futebol de robôs;Realidade Mista
0325157122452319;Marco Antonio Costa Simões;2008;2009;Análise e implementação de melhorias no servidor de futebol de robôs para Realidade Mista;Realidade Mista
8795066026611788;Maurício José Laguardia Campomori;2021;Atual;Interface de Realidade Mista em Hololens-2 para aprimoramento do ensino de projeto de arquitetura e urbanismo;Realidade Mista
8258852785816571;Yara Rondon Guasque Araujo;2007;2010;Visualização do manguezal para a Plataforma Multiusuário Estação Carijós;Realidade Mista
6614550860293610;Guido Lemos de Souza Filho;2005;2006;GTVR - Grupo de Trabalho de Visualização Remota;Realidade Mista
6614550860293610;Marcelo Zuffo;2004;2007;GIGAVR - Realidade Virtual Imersiva e Distribuída sobre Redes de Altíssima Velocidade;Realidade Mista
1562357566810393;Luiz Marcos Garcia Goncalves;2009;2010;Grupo de trabalho de Realidade Mista;Realidade Mista
1562357566810393;Marcelo Knorich Zuffo;2005;2006;GIVA-VR (Plataformas para o Desenvolvimento de Aplicações de Realidade Virtual Imersiva e Distribuída sobre Redes de Altíssima Velocidade;Realidade Mista
1562357566810393;Guido Lemos de Souza Filho;2003;2006;Projeto IC Space e Projeto Inclusão Digital;Realidade Mista
2227324756659206;Frederico Menine Schaf;2011;2015;Projeto Piloto de Ambiente Imersivo Educacional com suporte a Experimentação Remota;Realidade Mista
2227324756659206;None;2005;2007;Desenvolvimento e instalação de um sistema de realidade mista (Mixed Reality), em cooperação com a Universidade de Bremen (Alemanha) e o SENAI-RS, no SENAI Mecatrônica em Caxias do Sul.;Realidade Mista
4274277189418426;Elisa Henning;2019;2021;Experimentação de ambientes de simulação de realidade mista na formação de professores;Realidade Mista
2482007463791395;Venancio, Giselle Martins;2022;Atual;Vivenciando o Passado: Os desafios das desigualdades globais e da inclusão digital no ensino de História;Realidade Mista
1095395084173623;Fernando Firmino da Silva;2017;2018;Narrativas inovadoras em videos 360 Graus no Jornalismo Imersivo de Realidade Virtual-Aumentada-Mista;Realidade Mista
8670475877813913;None;2004;2006;GIGA-VR;Realidade Mista
4791589931798048;Esteban Walter Gonzalez Clua;2019;Atual;(Cientista do Nosso Estado) Novos Modelos de Interface para Aplicações Virtuais e Pervasivas em Realidade Virtual e Realidade Mista;Realidade Mista
9279970444599822;None;2018;Atual;X-REALITY (VR/AR/MR) - REALIDADE VIRTUAL (Virtual Reality - VR), REALIDADE AUMENTADA (Augmented Reality - AR) E REALIDADE MISTA (Mixed Reality - MR).;Realidade Mista
1377022547816780;Diego Gervasio Frías Suárez;2009;2010;Simulador de futebol de robôs na categoria Realidade Mista da Robocup;Realidade Mista
6662953217298028;None;2018;Atual;Realidade Virtual (Virtual Reality - VR), Realidade Aumentada (Augmented Reality - AR) e Realidade Mista (Mixed Reality - MR). X-REALITY (VR/AR/MR) - RAINDANCE VR 2019 BRASIL EDITION;Realidade Mista
6965119196945931;Alessandro de Lima Bicho;2009;2011;Uma Abordagem em Realidade Mista para Simulação da Dinâmica de Pedestres;Realidade Mista
4282224955491397;Daniela Gorski Trevisan;2018;Atual;Técnicas de interação e avaliação da experiência do usuário em sistemas interativos e imersivos;Realidade Mista
0429575742156021;Ines Maria Silva Maciel;2019;Atual;MAPEAMENTO DO ECOSSISTEMA MR/XR NO BRASIL;Realidade Mista
