lattes id;coordenador;ano inicio;ano fim;titulo;tipo
2468514648565776;Flavia Dona;2012;2014;Realidade Virtual como Ferramenta na Reabilitação da Marcha de Pacientes com Vestibulopatias;Realidade Virtual
824508932634550;Elvis Terci Valera;2015;Atual;Avaliação da Dor e Enfrentamento do Tratamento em Crianças Hospitalizadas com Câncer Através de um Programa com Videogame;Realidade Virtual
8576347873975306;Germano Bruno Afonso;2015;2017;Desenvolvimento de equipamentos educacionais em realidade virtual imersiva.;Realidade Virtual
4448248613510170;Mônia Aparecida da Silva;2019;Atual;Avaliação dos efeitos de um programa de intervenção com jogos virtuais nas funções cognitivas de crianças com queixas de dificuldades de aprendizagem;Realidade Virtual
1280835655867163;Eduardo da Silva Lopes;2005;Atual;Perfil e capacitação de operadores de máquinas de colheita da madeira;Realidade Virtual
7471848591836966;Alexandre Carvalho Silva;2022;Atual;Desenvolvimento de ambientes de Realidade Virtual para treinamento de operadores de subestações da Indústria de Energia Elétrica.;Realidade Virtual
9801802525566177;Jose Aquiles Baesso Grimoni;2003;2004;Aplicação de Realidade Virtual no Treinamento de Manutenção de Disjuntores de Subestações de Energia Elétrica;Realidade Virtual
2141124649915751;Pasqualino Romano Magnavita;1999;2001;Arquitetura e Realidade Virtual - 1999-2001 bolsa CNPq;Realidade Virtual
9627705064505983;Leonardo César Carvalho;2016;Atual;Inovação Tecnológica aplicada a reabilitação musculoesquelética;Realidade Virtual
1790662929908503;Luciene Chagas de Oliveira;2020;2022;DESENVOLVIMENTO DE APLICAÇÕES DA REALIDADE VIRTUAL E AUMENTADA PARA NEUROTECNOLOGIA (PIBITI 2020/012);Realidade Virtual
1790662929908503;Alexandre Cardoso;2012;2017;GT 411 ? PA: DESENVOLVIMENTO DE AMBIENTES VIRTUAIS, PARA CENTRO DE OPERAÇÃO DE SISTEMAS REPRESENTATIVOS DAS SUBESTAÇÕES E USINAS DA CEMIG, ASSOCIADOS A TECNOLOGIAS DE PROJEÇÃO 3D;Realidade Virtual
8615127367466231;Sergio Scheer;2008;2014;Rede BIM-Brasil ? Modelagem e representação de produto para projetos de engenharia de construção em múltiplas dimensões ? integração de sistemas;Realidade Virtual
7390573927636069;Silvana Aparecida Borsetti Gregorio Vidotti;1994;2002;Realidade virtual e sistemas de informação;Realidade Virtual
