lattes id;coordenador;ano inicio;ano fim;titulo;tipo
1728783224542391;Rodolfo Pinto da Luz;2000;2001;VREL - Plataforma de experimentos nas áreas de ciências utilizando RV;Virtual Reality
2259041691301555;Marcelo da Silva Hounsell;2003;2004;Ex3 - Exploração de Exteriores Extensos (DAPE 175/2003);Virtual Reality
9999217523842385;Eliane Pozzebon;2023;Atual;Estudo sobre desconforto na utilização do óculos de realidade virtual;Virtual Reality
6186413528999908;Raul Sidnei Wazlawick;2000;2000;MUSEUVIRTUAL: Ferramenta de Autoria para Criação de Museus em Realidade Virtual para apoio à Aprendizagem Colaborativa via Internet;Virtual Reality
7228783590339066;HALALAU, ALEXANDRA;2018;2019;The Impact of Rehabilitation-oriented Virtual Reality Device in Patients With Ischemic Stroke;Virtual Reality
9944681520075532;Jose dos Santos Cabral Filho;2003;2006;A Percepção do Espaço Urbano de Valor Histórico Através das Novas Mídias Digitais;Virtual Reality
8529032048850930;João Luiz Bernardes Júnior;2011;2015;Natural and 3D Interaction for Information Systems;Virtual Reality
8529032048850930;Clóvis de Arruda Martins;2000;2004;Desenvolvimento de um Ambiente para Visualização Tridimensional da Dinâmica de Risers;Virtual Reality
0883301163870314;Alvaro Jose Rodrigues de Lima;2003;2014;O Uso da Internet no Estudo da Geometria Descritiva;Virtual Reality
4877438997744133;Marcio Teixeira-Bastos;2019;2020;Spatial Analysis, GIS and Digital Humanities in the Roman-Byzantine Near Eastern Archaeology. (STANFORD-U.S.);Virtual Reality
9962559130962213;None;1999;2000;MUSEUVIRTUAL: Ferramenta de Autoria para Criação de Museus em Realidade Virtual para apoio à Aprendizagem Colaborativa via Internet;Virtual Reality
9109602812218258;None;2004;2005;ANIMAÇÃO DOS EIXOS DE UMA MÁQUINA DE MEDIR POR COORDENADAS VIRTUAL USANDO VRML E JAVA;Virtual Reality
4093653182381054;Carla Maria Dal Sasso Freitas;2006;2009;EDGE (cooperação CNPq/INRIA, 2006-2009);Virtual Reality
2109581920248467;None;2000;2001;Projeto Recém Doutor;Virtual Reality
4791589931798048;Esteban Walter Gonzalez Clua;2019;Atual;(Cientista do Nosso Estado) Novos Modelos de Interface para Aplicações Virtuais e Pervasivas em Realidade Virtual e Realidade Mista;Virtual Reality
4791589931798048;None;2010;2014;Dome Virtual Reality Project;Virtual Reality
5632602851077460;Isis Didier Lins;2022;Atual;Combining Computer Fluid Dynamics, Virtual Reality, Machine and Deep Learning for Risk and Reliability Modeling in the Process Industry;Virtual Reality
6662953217298028;None;2018;Atual;Realidade Virtual (Virtual Reality - VR), Realidade Aumentada (Augmented Reality - AR) e Realidade Mista (Mixed Reality - MR). X-REALITY (VR/AR/MR) - RAINDANCE VR 2019 BRASIL EDITION;Virtual Reality
6486458354619269;None;2021;Atual;The effectiveness of virtual reality in patients with Parkinson's disease: an overview of systematic reviews.;Virtual Reality
2927011145636179;Francisco dos Santos Rebelo;2009;2013;PTDC/PSI-PCO/100148/2008 - Avisos de segurança do futuro: Realidade Virtual no estudo de avisos de base tecnológica;Virtual Reality
2927011145636179;Francisco dos Santos Rebelo;2007;2011;PTDC/PSI/69462/2006 - Usar a Realidade Virtual para Avaliar a Eficácia da Informação de Segurança;Virtual Reality
4137162987559085;Carla Maria Dal Sasso Freitas;2005;Atual;EDGE : Evaluation methods, Design Guidelines and Environments for Virtual Reality and Information Visualization Techniques;Virtual Reality
0683836610965593;José Eduardo Pompeu;2014;Atual;Efeitos do videogame Kinect no controle postural, condicionamento físico, cognição e qualidade de vida de pacientes com doença de Parkinson;Virtual Reality
