GEOMEROS - GEOSSISTEMAS, MODELIZAÇÃO GRÁFICA COM RECURSOS ORBITAIS DE SENSORES MULTIESPECTRAIS;UNIFESSPA;Abraão Levi dos Santos Mascarenhas;Geografia;Realidade Virtual
Abordagem funcional e multiprofissional em Gerontologia;UFSCAR;Juliana Hotta Ansai;Saúde Coletiva;Realidade Virtual
Ambientes Virtuais e Inteligentes;UERJ;Rosa Maria Esteves Moreira da Costa;Ciência da Computação;Realidade Virtual
Análise e Processamento de Imagens;UFPE;Ana Lúcia Bezerra Candeias;Geociências;Realidade Virtual
Análise Espacial e Dinâmica Ambiental;UNIFAL/MG;Clibson Alves dos Santos;Geografia;Realidade Virtual
Arte Computacional;UnB;Suzete Venturelli;Artes;Realidade Virtual
Audição e Equilíbrio: Avaliação e Reabilitação - UFRN;UFRN;Erika Barioni Mantello;Fonoaudiologia;Realidade Virtual
Bioengenharia e Dispositivos Implantáveis;UFRN;Custódio Leopoldino de Brito Guerra Neto;Engenharia Biomédica;Realidade Virtual
Bioengenharia e Dispositivos Implantáveis;UFRN;Custódio Leopoldino de Brito Guerra Neto;Engenharia Biomédica;Realidade Virtual
Centro de Competência em Manufatura;ITA;Alfredo Rocha de Faria;Engenharia Mecânica;Realidade Virtual
Cidade, memória e interatividade;UniAcademia;Thiago Luiz Berzoini Machado;Arquitetura e Urbanismo;Realidade Virtual
Computação Aplicada;UNESP;Rogério Eduardo Garcia;Ciência da Computação;Realidade Virtual
Computação Gráfica, Processamento de Imagens e Interação;UFRGS;Carla Maria Dal Sasso Freitas;Ciência da Computação;Realidade Virtual
Computação Visual;INSPER;Luciano Pereira Soares;Engenharia Elétrica;Realidade Virtual
ESTUDOS INTERDISCIPLINARES EM SISTEMAS DE SIMULAÇÃO DIGITAL PARA EMPREGO NO ENSINO MILITAR E NO PREPARO DA FORÇA TERRESTRE.;AMAN;Gildson Borges da Silva;Defesa;Realidade Virtual
Fotografia e Conhecimento;UEMG;Gabriel Malard Monteiro;Artes;Realidade Virtual
GAMA - Grupo de Pesquisas em Aplicações Multimídia Avançadas;UNIFACS;Paulo Nazareno Maia Sampaio;Ciência da Computação;Realidade Virtual
Games, Educação, Tecnologia e Sociedade (GETS);MACKENZIE;Pollyana Coelho da Silva Notargiacomo;Engenharia Elétrica;Realidade Virtual
GCG - Grupo de Computação Gráfica, Imagem e Visão;UFJF;Marcelo Bernardes Vieira;Ciência da Computação;Realidade Virtual
GCG - Grupo de Computação Gráfica, Imagem e Visão;UFJF;Marcelo Bernardes Vieira;Ciência da Computação;Realidade Virtual
GERQS - Grupo de Engenharia de Requisitos e Qualidade de Software;UFERSA;Joêmia Leilane Gomes de Medeiros;Ciência da Computação;Realidade Virtual
Gestão e Digitalização da Indústria (GEDIN);UNINGA;Arthur Felipe Echs Lucena;Engenharia Civil;Realidade Virtual
Gestão e Economia no ambiente Construído;UnB;Michele Tereza Marques Carvalho;Engenharia Civil;Realidade Virtual
Gestão e Inovação em Saúde - GIS;UFRN;Hélio Roberto Hékis;Engenharia Biomédica;Realidade Virtual
GIIP - Grupo Internacional e Interinstitucional de Pesquisa em Arte, Ciência e Tecnologia.;UNESP;Rosangela da Silva Leote;Artes;Realidade Virtual
GIPAR - Grupo de Inovação e Pesquisa em Automação e Robótica;IFBA;Jose Alberto Diaz Amado;Engenharia Elétrica;Realidade Virtual
GPADS - Grupo de Pesquisa Aplicada em Desenvolvimento de Sistemas;IFPE;Marco Antonio de Oliveira Domingues;Ciência da Computação;Realidade Virtual
GPETEC - Grupo de Pesquisa em Educação, Tecnologia e Ciências.;IFTM;Kenedy Lopes Nogueira;Ciência da Computação;Realidade Virtual
GRADIENTE DE MODELAGEM MATEMÁTICA E SIMULAÇÃO COMPUTACIONAL - GM²SC;IFPA;Denis Carlos Lima Costa;Matemática;Realidade Virtual
GREPET (Grupo de Pesquisa em Inovação de Recursos Didáticos, Produtos Educacionais e Tecnológicos);IFCE;Sandro César Silveira Jucá;Divulgação Científica;Realidade Virtual
Grupo de Arquiteturas, Processamento de Imagens e Sinais;UFSCAR;Ricardo José Ferrari;Ciência da Computação;Realidade Virtual
Grupo de Computação apliCada;UNEMAT;Maicon Aparecido Sartin;Ciência da Computação;Realidade Virtual
Grupo de Desenvolvimento de Mídias e Sistemas Computacionais;UNITINS;Arlenes Buzatto Delabary Spada;Educação;Realidade Virtual
Grupo de Estudo em Processo e Prática Avançada de Enfermagem - GEPPAE;UFF;Ana Carla Dantas Cavalcanti;Enfermagem;Realidade Virtual
Grupo de estudo em tecnologias disruptivas;IFES;Renan Carreiro Rocha;Engenharia Mecânica;Realidade Virtual
Grupo de Estudos da Saúde da Criança e do Adolescente- Crescer;UFBA;Climene Laura de Camargo;Enfermagem;Realidade Virtual
Grupo de Processamento Gráfico - GPG;UFRR;Luciano Ferreira Silva;Ciência da Computação;Realidade Virtual
Grupo de Realidade Virtual;PUCRS;Marcio Sarroglia Pinho;Ciência da Computação;Realidade Virtual
