lattes id;coordenador;ano inicio;ano fim;titulo;Assunto
9812601801979283;Josiane Caetano Dragunski;2013;Atual;Adsorção do azul reativo 5G em efluentes têxteis utilizando resíduos agroindustriais;5G
4804031257494386;;2018;2020;5GMagic - Aprendizado de Máquinas para o Controle Inteligente de Redes 5G;5G
4804031257494386;;2014;2016;Provisão e Controle de Qualidade de Serviço para Sistemas sem Fio de 5a. Geração;5G
6074823609119433;João Paulo Carvalho Lustosa da Costa;2015;2017;Plataforma MIMO Flexível para Desenvolvimento de Algoritmos em Sistemas de Comunicações;5G
8594325955153756;Jacir Luiz Bordim;2013;2016;Estudo e Implementação de Técnicas de Acesso e Alocação Oportunística das Faixas de Rádio Frequências;5G
3140652045392909;Luiz Alencar Reis da Silva Mello;2019;2022;CAPES/FCT 88887.309016/2018-00 - Estudo e otimização de modelos de propagação para 5G;5G
6358312955522220;Vicente Angelo de Sousa Junior;2018;Atual;Concepção e Análise de desempenho de funcionalidades de camadas PHY e MAC para sistemas 5G;5G
6358312955522220;;2017;2018;Prototipagem de formas de onda do sistemas 5G em rádio definido por software;5G
1870389730408675;Christian Esteve Rothenberg;2022;Atual;Redes e serviços inteligentes rumo 2030 (SMARTNESS);5G
7146743799532788;Arismar Cerqueira Sodré Júnior;2020;2022;Inteligência Artificial Aplicada à Estimação do Canal e Otimização do Desempenho de Sistemas 5G Fiber/Wireless;5G
7146743799532788;Arismar Cerqueira Sodré Júnior;2018;2022;Dispositivos de RF Baseados em Fotônica;5G
7146743799532788;Arismar Cerqueira Sodré Júnior;2016;2022;Suporte ao Desenvolvimento do projeto: Redes Convergentes Ópticos-Wireless para Sistemas Celulares 5G e Internet do Futuro;5G
7146743799532788;Arismar Cerqueira Sodré Júnior;2015;2018;Proposta de Redes Convergentes Óptico-Wireless para Sistemas Celulares 5G e Internet do Futuro;5G
4932411097202754;Priscila América Solís Mendez Barreto;2017;2021;5G-RANGE Remote area Access Network for 5th Generation;5G
6428800770934048;Rafael Pasquini;2021;Atual;SFI2 - Slicing Future Internet Infrastructure;5G
0944963449027456;Ruan Delgado Gomes;2023;Atual;Conectividade 5G e EDGE Computing para Transformação Digital na Indústria 4.0 (EDGE5G);5G
0944963449027456;Edmar Candeia Gurjão;2022;Atual;Segurança cibernética das redes de telecomunicações, especialmente nos sistemas de comunicações móveis de quinta geração (5G);5G
0549389076806391;;2021;Atual;PROJETO DE ANTENA MULTIBANDA INTEGRADA PARA TERMINAIS 5G;5G
0549389076806391;Miércio Cardoso de Alcântara Neto;2021;Atual;ESTUDO DE TÉCNICAS DE OTIMIZAÇÃO BIOINSPIRADAS PARA PROJETO E SÍNTESE DE FSS E ANTENAS PARA TERMINAIS DE COMUNICAÇÃO SEM FIO 5G;5G
0549389076806391;;2020;2021;PROJETO E SÍNTESE DE DISPOSITIVOS ELETROMAGNÉTICOS PARA APLICAÇÕES NO SISTEMA 5G VIA OTIMIZAÇÃO BIOINSPIRADA MULTIOBJETIVO;5G
0549389076806391;;2018;2019;PROJETO E SÍNTESE DE FSS DE ONDA MILIMÉTRICA COM CONTROLE DO REGIME DE TRAPPED-MODE PARA APLICAÇÃO NO SISTEMA DE TRANSPORTE INTELIGENTE;5G
0549389076806391;;2017;2019;PROJETO E SÍNTESE DE FSS DE BANDA ULTRA LARGA PARA APLICAÇÕES NO SISTEMA 5G UTILIZANDO OTIMIZAÇÃO BIOINSPIRADA MULTIOBJETIVO;5G
0549389076806391;Fabrício José Brito Barros;2014;2015;Proposta de Modelos de Rádio Propagação para Sistemas Fixos e Móveis na Região Amazônica Baseado em Medições;5G
7234583758071194;José Paes de Oliveira Filho;2017;Atual;Frequência alélica das mutações responsáveis pela Nefropatia Familiar (FN, c.115A>T no gene COL4A4) e pela Atrofia Retiniana Progressiva (PRA-PRCD, c.5G>A no gene PRCD) em cães da raça Cocker Spaniel Inglês;5G
7916375574050821;Cintya Wink de Oliveira Benedito;2023;Atual;Utilização de estruturas algébricas em construções de bons códigos e reticulados para sistemas de comunicação ópticas e móveis;5G
7916375574050821;Cintya Wink de Oliveira Benedito;2020;2022;Aplicações de Códigos e Reticulados em Sistemas de Telecomunicações  (Projeto Trienal UNESP: 2020-2022);5G
1101383196957378;Paulo Ditarso Maciel Júnior;2023;Atual;Arcabouço de Soluções Abertas para Gerência de Recursos, Conectividade e Segurança em Redes 5G Privadas para o Ambiente Industrial;5G
