coordenador id;nome;afiliacao;ref id;ref nome
9812601801979283;Josiane Caetano Dragunski;Universidade Estadual do Oeste do Paraná, UNIOESTE, Brasil.;9812601801979283;Josiane Caetano Dragunski
8594325955153756;Jacir Luiz Bordim;Universidade de Brasília, UnB, Brasil.;8594325955153756;Jacir Luiz Bordim
8068674011748482;Luiz Alencar Reis da Silva Mello;Pontifícia Universidade Católica do Rio de Janeiro, PUC-Rio, Brasil.;3140652045392909;Luiz Alencar Reis da Silva Mello
6358312955522220;Vicente Angelo de Sousa Junior;Universidade Federal do Rio Grande do Norte, UFRN, Brasil.;6358312955522220;Vicente Angelo de Sousa Junior
3061595319558530;Christian Rodolfo Esteve Rothenberg;Universidade Estadual de Campinas, UNICAMP, Brasil.;1870389730408675;Christian Esteve Rothenberg
1703406475581759;Arismar Cerqueira Sodré Junior;Instituto Nacional de Telecomunicações, INATEL, Brasil.;7146743799532788;Arismar Cerqueira Sodré Júnior
6544098578171957;Priscila América Solís Mendez Barreto;Universidade de Brasília, UnB, Brasil.;4932411097202754;Priscila América Solís Mendez Barreto
6428800770934048;Rafael Pasquini;Universidade Federal de Uberlândia, UFU, Brasil.;6428800770934048;Rafael Pasquini
944963449027456;Ruan Delgado Gomes;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB, IFPB, Brasil.;944963449027456;Ruan Delgado Gomes
9200464668550566;Edmar Candeia Gurjão;Instituto Avançado de Tecnologia e Inovação - IATI, IATI, Brasil.;944963449027456;Edmar Candeia Gurjão
549389076806391;Miércio Cardoso de Alcântara Neto;Universidade Federal do Pará, UFPA, Brasil.;549389076806391;Miércio Cardoso de Alcântara Neto
9758585938727609;Fabricio Jose Brito Barros;Universidade Federal do Pará, UFPA, Brasil.;549389076806391;Fabrício José Brito Barros
7234583758071194;José Paes de Oliveira Filho;Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.;7234583758071194;José Paes de Oliveira Filho
7916375574050821;Cintya Wink de Oliveira Benedito;Universidade Estadual de Campinas, UNICAMP, Brasil.;7916375574050821;Cintya Wink de Oliveira Benedito
