;Instituto Federal do Ceará; Grupo de Pesquisa Avançada em Redes e Automação;30/01/2023;Rodrigo Carvalho Souza Costa;Diego Aguiar Sousa;Engenharias;5G;Ceará
;Universidade Estadual de Campinas; INTRIG (Information & Networking Technologies Research & Innovation ;23/02/2023;Christian Rodolfo Esteve Rothenberg;-;Engenharias;5G;São Paulo
;Instituto Federal de São Paulo;Cidades Inteligentes e Sustentáveis;25/05/2022;Andre Marcelo Panhan;João Roberto Moro;Ciências Exatas e da Terra;5G;São Paulo
;Universidade Federal de Minas Gerais;GeoPolítica e Planejamento Territorial (GeoPT);20/10/2022;Natacha Silva Araújo Rena;Marcelo Reis Maia;Ciências Sociais Aplicadas;5G;Minas Gerais
;Universidade Federal do Pará;GERCOM: Grupo de Pesquisa em Redes de Computadores e Comunicação ;16/01/2023;Antonio Jorge Gomes Abelém;Eduardo Coelho Cerqueira;Ciências Exatas e da Terra;5G;Pará
;Universidade Federal de Santa Maria;GPSCOM - Grupo de Pesquisa em Processamento de Sinais e ;25/04/2023;Samuel Tumelero Valduga;Candice Müller;Engenharias;5G;Rio Grande do Sul
;Universidade Federal do Ceará;GREat - Grupo de Redes de Computadores, Engenharia de Software ;26/01/2023;Rossana Maria de Castro Andrade;Miguel Franklin de Castro;Ciências Exatas e da Terra;5G;Ceará
;Universidade da Integração Internacional da Lusofonia Afro-Brasileira;Grupo de Pesquisa e Extensão em Telecomunicação - GPET;23/03/2023;Sabi Yari Moïse BANDIRI;-;Engenharias;5G;Ceará
;Universidade Federal da Paraíba;Grupo de Pesquisa em Comunicações e Processamento de Sinais (GCOMPS);07/11/2022;Rafael de Sousa Marinho;Rafael de Sousa Marinho;Engenharias;5G;Paraíba
;Centro de Estudos e Sistemas Avançados do Recife;Grupo de pesquisa em Internet das Coisas;16/09/2022;Tiago Guedes Ferreira Barros;Eduardo Campello Peixoto;Ciências Exatas e da Terra;5G;Pernambuco
;Universidade Federal de Pernambuco;GRUPO DE PESQUISA EM REDES E TELECOMUNICAÇÕES - GPRT;15/06/2022;Djamel Fawzi Hadj Sadok;-;Ciências Exatas e da Terra;5G;Pernambuco
;Universidade Federal do Rio Grande do Norte;Grupo de Pesquisa em Serviços e Aplicações para Internet do Futuro ;03/04/2023;Thais Vasconcelos Batista;Thais Vasconcelos Batista;Ciências Exatas e da Terra;5G;Rio Grande do Norte
;Universidade Federal de Uberlândia;Grupo de Redes, Arquiteturas, Sistemas Operacionais e Sistemas ;23/01/2023;Pedro Frosi Rosa;Pedro Frosi Rosa;Ciências Exatas e da Terra;5G;Minas Gerais
