Unnamed: 0;INSTITUICAO;GRUPO;DATA_CRIACAO;LIDER;LIDER2;AREA;BUSCA;ESTADO
;Universidade da Integração Internacional da Lusofonia Afro-Brasileira;Grupo de Pesquisa e Extensão em Telecomunicação - GPET;23/03/2023;Sabi Yari Moïse BANDIRI;-;Engenharias;5G;Ceará
;Universidade Federal Rural da Amazônia;Grupo Ubíquas de Inovação Efetiva de Pesquisa, Extensão e Estudo em ;24/05/2023;Allan Douglas Bento da Costa;-;Ciências Exatas e da Terra;5G;Amazonas
;Instituto Nacional de Telecomunicações;Information and Communications Technologies;19/12/2022;Estevan Marcelo Lopes;Estevan Marcelo Lopes;Engenharias;5G;Minas Gerais
;Universidade de Mogi das Cruzes;Análise de Dados em Saúde;30/03/2023;Ricardo da Silva Santos;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Departamento de Polícia Federal;Polícia Judiciária e Inteligência Artificial;24/10/2022;Nelson Levy Kneip de Freitas Macedo;Nelson Levy Kneip de Freitas Macedo;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Centro Universitário de Brasília;=ISO Justiça Processual e Desigualdade;15/11/2022;Jefferson Carlos Carús Guedes;-;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Grupo IBMEC;A expansão da tecnologia de inteligência artificial na prestação ;08/02/2023;Michele Pedrosa Paumgartten;-;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;INSTITUTO FEDERAL DO PARANA;Análise e Desenvolvimento de Sistemas em Engenharia Biomédica, ;23/03/2023;Ricardo Gouveia Teodoro;-;Engenharias;Inteligência Artificial;Paraná
;Hospital de Clínicas de Porto Alegre;Análises Econômicas em Saúde;13/04/2023;Carísi Anne Polanczyk;-;Ciências da Saúde;Inteligência Artificial;Rio Grande do Sul
;Empresa Brasileira de Pesquisa Agropecuária;Aplicações nanobiotecnológicas de biomoléculas;09/07/2022;Luciano Paulino da Silva;-;Ciências Biológicas;Inteligência Artificial;Distrito Federal
;Universidade Brasil;AUXÍLIO AO DIAGNÓSTICO MÉDICO;16/02/2023;Daniel Souza Ferreira Magalhães;-;Engenharias;Inteligência Artificial;São Paulo
;Universidade de Taubaté;Centro de Energias Renováveis da UNITAU;08/02/2023;Gilberto Fisch;Ederaldo Godoy Júnior;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade La Salle - Canoas;Cidades Inteligentes;24/03/2023;Patricia Kayser Vargas Mangan;Patricia Kayser Vargas Mangan;Ciências Sociais Aplicadas;Inteligência Artificial;Rio Grande do Sul
;Centro Universitário Campo Limpo Paulista;Ciência da Computação;17/03/2023;Marta Ines Velazco Fontova;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Estadual do Centro-Oeste;COMPANAT - Computação Natural e Paralela - Guarapuava;20/12/2022;Sandra Mara Guse Scós Venske;Sandra Mara Guse Scós Venske;Ciências Exatas e da Terra;Inteligência Artificial;Paraná
;Universidade Federal de Pelotas;Computação Aplicada ao Meio Ambiente;23/06/2022;Marilton Sanchotene de ;-;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Universidade FUMEC;Computação Quântica e Sistemas de Informação Quânticos;31/03/2023;Joao Victor Boechat Gomide;-;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade Federal do Triângulo Mineiro;CubeSat UFTM;17/02/2023;Cláriton Rodrigues Bernadelli;-;Engenharias;Inteligência Artificial;Minas Gerais
;Universidade Anhembi Morumbi;Design_arte computacional: inteligência artificial;01/02/2023;Suzete Venturelli;Gilberto dos Santos Prado;Ciências Sociais Aplicadas;Inteligência Artificial;Goiás
;Faculdades Milton Campos;Digitalização, inteligência artificial e pesquisa jurídica a partir da pandemia;16/12/2022;Carlos Alberto Rohrmann;-;Ciências Sociais Aplicadas;Inteligência Artificial;Minas Gerais
;União Educacional de Cascavel;Direito e Regulações;31/01/2023;Alfredo Copetti Neto;Alfredo Copetti Neto;Ciências Sociais Aplicadas;Inteligência Artificial;Paraná
;Universidade de Santo Amaro;Direitos fundamentais e regime jurídico da saúde ;22/03/2023;Lúcio Flávio Joichi Sunakozawa;Lúcio Flávio Joichi Sunakozawa;Ciências Sociais Aplicadas;Inteligência Artificial;São Paulo
;Universidade Tiradentes;Direitos Fundamentais, Novos Direitos e Evolução Social;18/05/2023;Clara Cardoso Machado ;Carlos Augusto Alcantara Machado;Ciências Sociais Aplicadas;Inteligência Artificial;Pernambuco
;Centro Universitário Internacional;Educação Híbrida e a Distância;25/04/2023;Siderly do Carmo Dahle de Almeida;-;Ciências Humanas;Inteligência Artificial;São Paulo
;Universidade Paulista;Engenharia de Software Aplicada à Criação de Sistemas Críticos;14/09/2022;Marcelo Nogueira;Marcelo Nogueira;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Instituto Stela;Engenharia do Conhecimento aplicada a Gestão de Informação e ;21/11/2022;Denilson Sell;-;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade Nove de Julho;Estratégia e Competitividade;14/10/2022;Benny Kramer Costa;Roberto Lima Ruas;Ciências Sociais Aplicadas;Inteligência Artificial;São Paulo
;Instituto para o Desenvolvimento da Educação;Estratégia, Inovação e Tecnologias de apoio à Gestão;28/10/2022;Elnivan Moreira de Souza;-;Ciências Sociais Aplicadas;Inteligência Artificial;Rio Grande do Norte
;Universidade Estadual de Feira de Santana;Finanças Computacionais;12/05/2023;Carlos Alberto Rodrigues;-;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Faculdade Jesuíta de Filosofia e Teologia;G-PEB Grupo de Pesquisa em Filosofia do Comportamento Econômico;10/04/2023;Nara Lucia de Melo Lemos Rela;Rogério Antonio Picoli;Ciências Humanas;Inteligência Artificial;Minas Gerais
;Universidade Federal de Viçosa;Genética Quantitativa, Estatística Genômica e BLUP no Melhoramento ;09/03/2023;Cosme Damiao Cruz;Cosme Damiao Cruz;Ciências Agrárias;Inteligência Artificial;Minas Gerais
;Universidade Ibirapuera;Gestão Financeira;22/02/2023;Juliano Augusto Orsi de Araujo;-;Ciências Sociais Aplicadas;Inteligência Artificial;São Paulo
;Hospital Universitário Lauro Wanderley/Ebserh;GPAC- Grupo de Pesquisa em Anomalias Craniofaciais;23/05/2023;Rosa Helena Wanderley Lacerda;-;Ciências da Saúde;Inteligência Artificial;Paraíba
;Universidade Federal do Pampa;GREAT - GRupo de Engenharia da informação Aplicada e Tecnologias ;29/03/2023;Sandra Dutra Piovesan;Sandra Dutra Piovesan;Ciências Exatas e da Terra;Inteligência Artificial;Rio Grande do Sul
;Instituto Federal Catarinense;GrECIA - Grupo de Estudos em Engenharia do Conhecimento e ;10/10/2022;Juliano Tonizetti Brignoli;Daniel Gomes Soares;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;ADWA CANNABIS PESQUISA E DESENVOLVIMENTO LTDA ;Grupo Brasileiro de Estudos sobre a Cannabis sativa L. (GBEC);06/05/2023;Sérgio Barbosa Ferreira Rocha;Caetano Marciano de Souza;Ciências Agrárias;Inteligência Artificial;Minas Gerais
;Universidade Federal de São João Del-Rei;Grupo de Estudos Aplicados à Engenharia da Computação;02/03/2023;Cristiano Maciel da Silva;Cristiano Maciel da Silva;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade Corporativa da Polícia Rodoviária Federal;GRUPO DE ESTUDOS E PESQUISA EM INOVAÇÃO E TRANSFORMAÇÃO - ;11/02/2023;Júlio César de Freitas Taveira;-;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade de Caxias do Sul;Grupo de Estudos e Pesquisas em Otimização de Operações e Processos ;21/10/2022;Alexandre Mesquita;Alexandre Mesquita;Engenharias;Inteligência Artificial;Rio Grande do Sul
;Universidade Positivo;Grupo de Inovação Médica;30/04/2023;Thaís Andrade Costa Casagrande;Thaís Andrade Costa Casagrande;Ciências da Saúde;Inteligência Artificial;São Paulo
;Universidade do Vale do Itajaí;Grupo de Inteligência Aplicada;21/05/2023;Rudimar Luís Scaranto Dazzi;Rudimar Luís Scaranto Dazzi;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Universidade Estácio de Sá;Grupo de Investigação em Educação online e aprendizagem em rede ;01/04/2023;Andréa Villela Mafra da Silva;-;Ciências Humanas;Inteligência Artificial;Goiás
;Universidade Santa Cecília;Grupo de Lógica Paraconsistente Aplicada em Automação e Robótica;03/04/2023;Alexandre Rocco;Alexandre Rocco;Engenharias;Inteligência Artificial;São Paulo
;Instituto Federal de Educação, Ciência e Tecnologia Baiano;Grupo de Pesquisa em  Computação Aplicada e Interdisciplinar (GPCAI);10/06/2022;Tiago do Carmo Nogueira;-;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Instituto Federal Sul-Rio-Grandense;GRUPO DE PESQUISA EM AUTOMAÇÃO E CONTROLE - GPAC;23/03/2023;Gabriel de Borba Luche;Gabriel de Borba Luche;Engenharias;Inteligência Artificial;Rio Grande do Sul
;Fundação Universidade Regional de Blumenau;GRUPO DE PESQUISA EM ENERGIA E TELECOMUNICAÇÕES -GPETEL;17/10/2022;Luiz Henrique Meyer;Thair Ibrahim Abdel Hamid Mustafa;Engenharias;Inteligência Artificial;Santa Catarina
;Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ;Grupo de pesquisa em Inovação, Tecnologia e Educação (GITE);17/04/2023;Vittorio Leandro Oliveira Lo Bianco;-;Ciências Humanas;Inteligência Artificial;Rio de Janeiro
;Universidade de Marília;Grupo de Pesquisa em Inteligência Artificial Aplicada;23/05/2023;Caio Saraiva Coneglian;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Estadual do Norte Fluminense Darcy Ribeiro;Grupo de Pesquisa em Nutrição Animal e Melhoramento Genético;23/06/2022;Tadeu Silva de Oliveira;Tadeu Silva de Oliveira;Ciências Agrárias;Inteligência Artificial;Rio de Janeiro
;Instituto Federal do Sertão Pernambucano;Grupo de Pesquisa em Redes de computadores, Otimização e ;20/07/2022;Marcelo Anderson Batista dos Santos;-;Ciências Exatas e da Terra;Inteligência Artificial;Pernambuco
;Centro Universitário Sagrado Coração;GRUPO DE PESQUISA MULTIDISCIPLINAR DE ;28/02/2023;Elvio Gilberto da Silva;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK;Grupo de Quimiometria Analítica;06/11/2022;Paulo Henrique Fidencio;-;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade do Vale do Sapucaí;Grupo Multidisciplinar de Inovação Tecnológica em Gestão da Saúde - ;03/05/2023;Flávio Fraga Vilela;-;Engenharias;Inteligência Artificial;Minas Gerais
;Centro Universitário de Belo Horizonte;Health Lab 4.0;28/01/2023;Flávio Henrique Batista de Souza;Flávio Henrique Batista de Souza;Ciências da Saúde;Inteligência Artificial;Minas Gerais
;Universidade Federal do ABC;Heuristics, Analysis and Learning Laboratory;13/01/2023;Fabricio Olivetti de França;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
