;INSTITUICAO;GRUPO;DATA_CRIACAO;LIDER;LIDER2;AREA;BUSCA
;Universidade Federal Rural do Rio de Janeiro;Água e Solos em Agroecossistemas;07/12/2022;Rosane Ferreira de Oliveira;Rosane Ferreira de Oliveira;Ciências Agrárias;NFT
;FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS;Indústria 4.0;24/06/2022;Fábio Lima;-;Engenharias;NFT
;Universidade Tecnológica Federal do Paraná;LAIPSE - Laboratório de Análise Inteligente em Processos e Sistemas ;28/04/2023;Narco Afonso Ravazzoli ;-;Engenharias;NFT
;Universidade Federal do Sul e Sudeste do Pará;GEOMEROS - GEOSSISTEMAS, MODELIZAÇÃO GRÁFICA COM ;02/05/2023;Maria Rita Vidal;Maria Rita Vidal;Ciências Humanas;Realidade Aumentada
;Universidade Federal do Piauí;[AVC Group] Applied Visual Computing Group / Grupo de Computação Visual ;21/09/2022;Laurindo de Sousa Britto Neto;-;Ciências Exatas e da Terra;Realidade Aumentada
;Universidade Federal de Alfenas;Análise Espacial e Dinâmica Ambiental;22/11/2021;Lineo Aparecido Gaspar Junior;Lineo Aparecido Gaspar Junior;Ciências Humanas;Realidade Aumentada
;Centro Universitário Academia - UniAcademia;Cidade, memória e interatividade;20/07/2022;Thiago Luiz Berzoini Machado;-;Ciências Sociais Aplicadas;Realidade Aumentada
;Universidade Federal do Rio Grande do Sul;Computação Gráfica, Processamento de Imagens e Interação;11/08/2022;Carla Maria Dal Sasso Freitas;-;Ciências Exatas e da Terra;Realidade Aumentada
;Insper Instituto de Ensino e Pesquisa;Computação Visual;19/09/2022;Luciano Pereira Soares;-;Engenharias;Realidade Aumentada
;Universidade Estadual de Campinas;Computação Visual;19/04/2023;José Mario De Martino;-;Ciências Exatas e da Terra;Realidade Aumentada
;Universidade Estadual do Oeste do Paraná;Computação Visual Aplicada;26/04/2023;Fabiana Frata Furlan Peres;-;Ciências Exatas e da Terra;Realidade Aumentada
;Universidade Federal de Alagoas;Comunidades Virtuais UFAL;06/05/2023;Fernando Silvio Cavalcante ;-;Ciências Humanas;Realidade Aumentada
;Universidade Tecnológica Federal do Paraná;COVAP - Computação Visual Aplicada;08/02/2023;Erikson Freitas de Morais;-;Ciências Exatas e da Terra;Realidade Aumentada
;Fundação Getúlio Vargas;Cubo de Inovação - Laboratório de Pesquisa e Produção em Ambientes ;10/02/2023;Alessandra Cristina da Silva ;-;Ciências Sociais Aplicadas;Realidade Aumentada
;Universidade do Extremo Sul Catarinense;Desenvolvimento em Realidade Aumentada e Dispositivos Móveis;09/03/2023;Luciano Antunes;Rogerio Antonio Casagrande;Ciências Exatas e da Terra;Realidade Aumentada
;Universidade Estadual de Londrina;Design de conteúdo para mídias digitais;27/03/2023;Rodrigo Martins de Oliveira Spinosa;Rodrigo Martins de Oliveira Spinosa;Ciências Sociais Aplicadas;Realidade Aumentada
;Universidade Federal da Bahia;Elétrico - Grupo de Pesquisa em Ciberdança;11/04/2023;Mirella de Medeiros Misi;Mirella de Medeiros Misi;Lingüística, Letras e Artes;Realidade Aumentada
;Universidade Federal de Minas Gerais;Ensino de Projeto - Arquitetura e Urbanismo;01/09/2022;Maurício José Laguardia ;Maria Lúcia Malard;Ciências Sociais Aplicadas;Realidade Aumentada
;Universidade de Pernambuco;ERGONOMIA, HIGIENE E SEGURANÇA DO TRABALHO;10/02/2023;Bianca Maria Vasconcelos ;-;Engenharias;Realidade Aumentada
;Universidade do Estado de Minas Gerais;Fotografia e Conhecimento;06/02/2023;Gabriel Malard Monteiro;-;Lingüística, Letras e Artes;Realidade Aumentada
;Universidade Salvador;GAMA - Grupo de Pesquisas em Aplicações Multimídia Avançadas;19/07/2022;Paulo Nazareno Maia Sampaio;-;Ciências Exatas e da Terra;Realidade Aumentada
;Universidade Presbiteriana Mackenzie;Games, Educação, Tecnologia e Sociedade (GETS);18/01/2023;Pollyana Coelho da Silva ;-;Engenharias;Realidade Aumentada
;Universidade Federal de Juiz de Fora;GCG - Grupo de Computação Gráfica, Imagem e Visão;15/07/2022;Marcelo Bernardes Vieira;Rodrigo Luis de Souza da Silva;Ciências Exatas e da Terra;Realidade Aumentada
