afiliacao,count
"Universidade de São Paulo, USP, Brasil.",65
"Universidade Federal do Rio de Janeiro, UFRJ, Brasil.",31
"Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.",31
"Universidade Federal do Rio Grande do Norte, UFRN, Brasil.",29
"Universidade de Brasília, UnB, Brasil.",25
"Universidade Federal de Santa Catarina, UFSC, Brasil.",21
"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS, Brasil.",21
"Universidade Federal de Uberlândia, UFU, Brasil.",17
"Universidade Federal de São Paulo, UNIFESP, Brasil.",17
"Universidade do Estado de Santa Catarina, UDESC, Brasil.",16
"Universidade Estadual de Campinas, UNICAMP, Brasil.",16
"Universidade Federal de Santa Maria, UFSM, Brasil.",16
"Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.",15
"Universidade Federal Fluminense, UFF, Brasil.",14
"Universidade Federal de São Carlos, UFSCAR, Brasil.",14
"Universidade Federal do Paraná, UFPR, Brasil.",12
"Universidade Federal do Ceará, UFC, Brasil.",12
"Universidade Federal do Pará, UFPA, Brasil.",12
"Universidade Federal de Minas Gerais, UFMG, Brasil.",12
"Pontifícia Universidade Católica do Rio de Janeiro, PUC-Rio, Brasil.",11
"Universidade Federal de Pernambuco, UFPE, Brasil.",11
"Centro Universitário Carioca, UNICARIOCA, Brasil.",10
"Universidade Federal da Bahia, UFBA, Brasil.",9
"Universidade Federal de Viçosa, UFV, Brasil.",9
"Universidade Federal de Itajubá, UNIFEI, Brasil.",8
"Universidade Federal da Paraíba, UFPB, Brasil.",7
"Universidade do Vale do Rio dos Sinos, UNISINOS, Brasil.",7
"Universidade Federal de Sergipe, UFS, Brasil.",7
"Universidade Estadual de Londrina, UEL, Brasil.",7
"Pontifícia Universidade Católica de Minas Gerais, PUC Minas, Brasil.",7
"Faculdade Estacio de Sa, ESTACIO, Brasil.",6
"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo, IFES, Brasil.",6
"Universidade Federal de Juiz de Fora, UFJF, Brasil.",6
"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte, IFRN, Brasil.",6
"Universidade Federal de Ouro Preto, UFOP, Brasil.",6
"Universidade Estadual da Paraíba, UEPB, Brasil.",6
"Universidade do Estado da Bahia, UNEB, Brasil.",6
"Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.",6
"Secretaria de Ciência e Tecnologia de João Pessoa, SECITEC, Brasil.",5
"Universidade La Salle - Canoas, UNILASALLE, Brasil.",5
"Universidade do Estado do Rio de Janeiro, UERJ, Brasil.",5
"Universidade Federal de Goiás, UFG, Brasil.",5
"Universidade Federal de Ciências da Saúde de Porto Alegre, UFCSPA, Brasil.",5
"Universidade Estadual do Ceará, UECE, Brasil.",5
"Universidade Federal de Alfenas, UNIFAL/MG, Brasil.",5
"Universidade Católica de Brasília, UCB/DF, Brasil.",5
"Instituto Federal do Triângulo Mineiro, IFTM, Brasil.",5
"Pontifícia Universidade Católica de São Paulo, PUC/SP, Brasil.",5
"Universidade Federal de Alagoas, UFAL, Brasil.",4
"Universidade Federal de Jataí, UFJ, Brasil.",4
"Universidade Federal de Pelotas, UFPEL, Brasil.",4
"Centro Federal de Educação Tecnológica de Minas Gerais, CEFET/MG, Brasil.",4
"Universidade Federal do Espírito Santo, UFES, Brasil.",4
"Universidade Tuiuti do Paraná, UTP, Brasil.",4
"Universidade Federal do Triângulo Mineiro, UFTM, Brasil.",4
"Instituto Federal de São Paulo, IFSP, Brasil.",4
"Fundação Universidade Regional de Blumenau, FURB, Brasil.",4
"Universidade Federal do Piauí, UFPI, Brasil.",4
"INSTITUTO FEDERAL DO PARANA, IFPR, Brasil.",4
"Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq, Brasil.",4
"Universidade do Vale do Itajaí, UNIVALI, Brasil.",4
"Universidade Aberta do Brasil, UAB, Brasil.",4
"Universidade Presbiteriana Mackenzie, MACKENZIE, Brasil.",3
"Universidade do Estado de Minas Gerais, UEMG, Brasil.",3
"Instituto Federal de Brasília, IFB, Brasil.",3
"Instituto Israelita de Ensino e Pesquisa Albert Einstein, IIEPAE, Brasil.",3
"Fundação Universidade Federal de Ciências da Saúde de Porto Alegre, UFCSPA, Brasil.",3
"Universidade Católica de Pernambuco, UNICAP, Brasil.",3
