lattes id;ano inicio;ano fim;afiliacao;assunto;titulo
4321649532287831;2010;2012;Universidade Federal de Pernambuco, UFPE, Brasil.;Augmented Reality;ARVS - Hybrid model based markerless 3D tracking for augmented reality and visual servoing
4321649532287831;2007;2011;Universidade Federal de Pernambuco, UFPE, Brasil.;Augmented Reality;TechPetro
649930882307115;2019;Atual;Universidade Estadual do Ceará, UECE, Brasil.;Augmented Reality;Augmented Reality Training Arcade (ARTRADE) Ano II
813823100105934;2007;2009;Universidade de São Paulo, USP, Brasil.;Augmented Reality;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade
4340581249924621;2019;2022;Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.;Augmented Reality;A Constituição do Conhecimento Matemático com a Realidade Aumentada
4794107935753176;2012;2014;Universidade Federal de Juiz de Fora, UFJF, Brasil.;Augmented Reality;Augmented dance in Rio de Janeiro: an immersive experience of contemporary dance and augmented reality
3767009717402045;2007;2012;Universidade Federal de Uberlândia, UFU, Brasil.;Augmented Reality;Título: Realidade Virtual e Realidade Aumentada na Visualização da Informação
3683706649252319;2007;2009;Universidade Federal de Uberlândia, UFU, Brasil.;Augmented Reality;Realidade Virtual e Realidade Aumentada na Visualização da Informação
9801031941805250;2019;2020;Universidade Federal de Uberlândia, UFU, Brasil.;Augmented Reality;Amputee-Driven Design and Development of Upper Limb Prosthesis using Virtual-Physical Methodologies
4006878042502781;2019;Atual;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;Augmented Reality;Collective Intelligence and Consensual Task-Allocation: a novel paradigm to Multi-Robot Systems
4791589931798048;2020;Atual;Universidade Federal Fluminense, UFF, Brasil.;Mixed Reality;(CNPQ PQ1D) Deep Learning e Aprendizagem de Máquina para Interfaces Tangíveis, Imersão e Composição em Realidade
3191129244573056;2018;2019;Instituto Federal do Sudeste de Minas Gerais, IF SUDESTE MG, Brasil.;Mixed Reality;Mixed Reality Aplicada a Visualização de Espaços Físicos
584425766553916;2014;Atual;Laboratório de Arte contemporanea, Tecnolodia e Mídias Digitias, LABART, Brasil.;Realidade Aumentada;ARt[in]Muzz
6001559184049370;2019;2020;Universidade Federal da Bahia, UFBA, Brasil.;Realidade Aumentada;Realidade Aumentada Espacial - Ateliê de Criação (ATO II)
6001559184049370;2019;2020;Universidade Federal da Bahia, UFBA, Brasil.;Realidade Aumentada;Construção dramatúrgica em ambientes híbridos de Dança Digital: Um estudo empírico sobre a estética interativa
6001559184049370;2018;2019;Universidade Federal da Bahia, UFBA, Brasil.;Realidade Aumentada;Realidade Aumentada Espacial - Ateliê de Criação
3827444548540732;2022;Atual;Universidade do Estado de Santa Catarina, UDESC\CEAVI, Brasil.;Realidade Aumentada;Ferramenta de Autoria de Realidade Aumentada na Educação
9844015070032232;2014;2016;Ablevision Sistemas Computacionais Ltda, ABLEVISION, Brasil.;Realidade Aumentada;X-factory - inovação em processos industriais versáteis com modelo de fábrica inteligente para inclusão produtiva e aumento de competitividade
8064558616443413;2005;2007;Universidade Aberta do Brasil, UAB, Brasil.;Realidade Aumentada;Usando técnicas de realidade aumentada no processo de inclusão digital de crianças hospitalizadas. Cadastrado na Propeq sob número 090/CAP/2005
4186515742605446;2013;2017;Universidade Federal do Ceará, UFC, Brasil.;Realidade Aumentada;Sistemas inteligentes aplicados na área biomédica
116830050245232;2022;Atual;Universidade Federal de Sergipe, UFS, Brasil.;Realidade Aumentada;Inteligência artificial e metaverso nas linguagens e na educação: lugares-comuns da era pós-digital (Fase 2 do projeto guarda-chuva do grupo de pesquisa TECLA)
116830050245232;2018;2021;Universidade Federal de Sergipe, UFS, Brasil.;Realidade Aumentada;Tecnologias em sala de aula: o pós-digital em questão (projeto guarda-chuva do grupo de pesquisa TECLA/UFS)
409865244128616;2011;2015;Universidade Estadual de Campinas, UNICAMP, Brasil.;Realidade Aumentada;Rede Cooperativa de Pesquisa FINEP - TICHIS
4465619366143200;2019;Atual;Universidade de Brasília, UnB, Brasil.;Realidade Aumentada;Qualidade de Experiência em Vídeos Imersivos - Bolsa PQ
48790978449306;2011;2012;Universidade do Estado de Santa Catarina, UDESC, Brasil.;Realidade Aumentada;Metodologia para Software 3D Interativo
4611623889620565;2016;2018;Universidade Federal de São João Del-Rei, UFSJ, Brasil.;Realidade Aumentada;Desenvolvimento e aplicação de e-books interativos
2413369452452350;2022;Atual;Instituto Federal de Educação, Ciência e Tecnologia do Pará, Campus Itaitub, IFPA, Brasil.;Realidade Aumentada;DESENVOLVIMENTO DE UM APLICATIVO COM REALIDADE AUMENTADA PARA AUXÍLIO NO ENSINO DO CICLO DE REPRODUÇÃO DO MOSQUITO Aedes aegypti.
1584574231456379;2022;Atual;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;Realidade Aumentada;Tecnoexperiências em realidade virtual e aumentada: uma visão sob a perspectiva da comunicação publicitária
2259041691301555;2007;2010;Universidade do Estado de Santa Catarina, UDESC, Brasil.;Realidade Aumentada;Uso da tecnologia de realidade virtual para reabilitação motora (DPPG 2023/2007)
7229833456758124;2014;Atual;Universidade Federal de Pelotas, UFPEL, Brasil.;Realidade Aumentada;Modela Pelotas IV
6495915655298176;2018;2018;Universidade do Vale do Itajaí, UNIVALI, Brasil.;Realidade Aumentada;Desenvolvimento de livro educativo digital interativo utilizando recursos de realidade aumentada
3196052576107598;2019;Atual;University of South Australia, UNISA, Austrália.;Realidade Aumentada;XR4Good - Realidade Estendida para o bem
3196052576107598;2019;Atual;University of South Australia, UNISA, Austrália.;Realidade Aumentada;Avaliação do Uso de Realidade Estendida para processos Industriais: Estudo de caso Correias Transportadoras
3196052576107598;2018;Atual;University of South Australia, UNISA, Austrália.;Realidade Aumentada;REALIDADE ESTENDIDA COMO FERRAMENTA PARA ELEVAR O DESEMPENHO ACADÊMICO DE ESTUDANTES
6817254319412151;2012;2017;Fundação Armando Álvares Penteado, FAAP, Brasil.;Realidade Aumentada;Cidade Aumentada: expandindo e estendendo as camadas informacionais urbanas no espaço e no tempo por meio da realidade mista
6919473605146182;2019;Atual;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;Realidade Aumentada;Digitalização 3D associada a Realidade Virtual e Aumentada para a Preservação do Patrimônio Cultural
6919473605146182;2018;Atual;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;Realidade Aumentada;Uso de Realidade Virtual e Realidade Aumentada como facilitadores da aprendizagem de conteúdos das disciplinas de desenho técnico
2746290295878975;2020;2021;Universidade Federal do ABC, UFABC, Brasil.;Realidade Aumentada;O uso de recursos visuais na educação matemática: uma proposta de material didático bilíngue (libras/português)
8362852284802251;2004;2005;Universidade Federal de Ouro Preto, UFOP, Brasil.;Realidade Aumentada;Avaliação de Interfase de Sistema de Realidade Aumentada
2343273642042806;2011;2014;UNESP Guaratinguetá, FEG, Brasil.;Realidade Aumentada;Realidade Aumentada no suporte à avaliação pós-ocupação
1572779834379796;2017;2020;Universidade Aberta de Portugal, UAB-PORTUGAL, Portugal.;Realidade Aumentada;A CIDADE COMO ESPAÇO DE APRENDIZAGEM: Educação para a cidadania em contextos híbridos, multimodais, pervasivos e ubíquos
3381049256541106;2012;2016;Universidade do Vale do Itajaí, UNIVALI, Brasil.;Realidade Aumentada;Avaliação da interação usuário-produto nas fases iniciais do projeto com o auxilio da prototipagem rápida por impressão 3D e da realidade aumentada
3381049256541106;2009;2012;Universidade do Vale do Itajaí, UNIVALI, Brasil.;Realidade Aumentada;Avaliação da usabilidade de produtos eletroeletrônicos com o auxílio de Realidade Virtual e Realidade Aumentada
2125238602476950;2019;2020;Faculdade Estacio de Sa, ESTACIO, Brasil.;Realidade Aumentada;Energia limpas apresentadas por Realidade Aumentada
2125238602476950;2017;Atual;Faculdade Estacio de Sa, ESTACIO, Brasil.;Realidade Aumentada;O uso da Realidade Aumentada como tecnologia educacional para promover e incentivar o aprendizado para alunos dentro e/ou fora de sala de aula
1744732999336375;2016;2018;Universidade Federal do Ceará, UFC, Brasil.;Realidade Aumentada;Oficinas de Animação e Jogos Locativos como Fator de Ambientação e Integração entre os Cursos de Graduação em Design, Cinema, Computação e Sistemas e Mídias Digitais da UFC
5734518155680206;2018;2021;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;Realidade Aumentada;Uso de Realidade Virtual e Realidade Aumentada como facilitadores da aprendizagem de conteúdos das disciplinas de Desenho Técnico
453892715674953;2009;2010;Universidade de Brasília, UnB, Brasil.;Realidade Aumentada;Realidade Aumentada aplicada a Métodos de Controle Servovisual para Manipuladores Robóticos
8243001226255815;2019;2021;Universidade do Estado de Minas Gerais, UEMG, Brasil.;Realidade Aumentada;Novas realidades: interfaces artísticas e construção de realidades
9999217523842385;2023;Atual;Universidade Federal de Santa Catarina, UFSC, Brasil.;Realidade Aumentada;Modelos de realidade mista baseado em volumes tridimensionais  de acervo DICOM agregando conceitos patologicos para aplicações no ensino da medicina
9999217523842385;2020;2021;Universidade Federal de Santa Catarina, UFSC, Brasil.;Realidade Aumentada;Percepção e desempenho da aprendizagem por meio da utilização da Realidade aumentada como ferramenta de ensino nas aulas de Ciências.
326014908040698;2017;2020;Instituto Federal Fluminense, IFF, Brasil.;Realidade Aumentada;UNIDADE DE ENSINO POTENCIALMENTE SIGNIFICATIVA (UEPS) SOBRE CAMPO E CAMPO MAGNÉTICO NO ENSINO MÉDIO
141389002346917;2002;2003;Programa de Posgrado Online en Artes Mediales, PPOAM, Argentina.;Realidade Aumentada;Ambientes Inteligentes
8626964624628522;2003;2008;Universidade Estadual Paulista Júlio de Mesquita Filho, UNESP, Brasil.;Realidade Aumentada;Estudo, Projeto e Implementação de Ambientes de Realidade Combinada
649930882307115;2017;2018;Universidade Estadual do Ceará, UECE, Brasil.;Realidade Aumentada;Artrade: Realidade Aumentada, Surdos e o ensino profissionalizante à distância
649930882307115;2016;2018;Universidade Estadual do Ceará, UECE, Brasil.;Realidade Aumentada;TGlass - SmartGlass para ensino profissionalizante  à distância para pessoas com deficiência
3554024776201116;2020;Atual;Universidade Federal de Rondônia, UNIR, Brasil.;Realidade Aumentada;EMPREGO DA REALIDADE AUMENTADA NO ENSINO DE GEOMETRIA ESPACIAL
6165964080419504;2020;2021;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte, IFRN, Brasil.;Realidade Aumentada;Realidade Virtual e Realidade Aumentada no processo de concepção e apresentação de projetos urbanísticos: Reinvente seu bairro
152834093913136;2018;2019;Universidade Federal de Viçosa, UFV, Brasil.;Realidade Aumentada;Realidade aumentada no ensino de química:	desenvolvimento de objetos virtuais para aplicativo smartphone como proposta de ensino de eletroquímica
4778641486908033;2016;Atual;Universidade Estadual de Londrina, UEL, Brasil.;Realidade Aumentada;A avaliação pré-projeto e sua contribuição na compreensão do ambiente construído pelo usuário: simulações por protótipos físicos e digitais
