lattes id;ano inicio;ano fim;estado;assunto;titulo
4321649532287831;2010;2012;Pernambuco;Augmented Reality;ARVS - Hybrid model based markerless 3D tracking for augmented reality and visual servoing
4321649532287831;2007;2011;Pernambuco;Augmented Reality;TechPetro
649930882307115;2019;Atual;Ceará;Augmented Reality;Augmented Reality Training Arcade (ARTRADE) Ano II
813823100105934;2007;2009;São Paulo;Augmented Reality;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade
4340581249924621;2019;2022;Pernambuco;Augmented Reality;A Constituição do Conhecimento Matemático com a Realidade Aumentada
4794107935753176;2012;2014;Minas Gerais;Augmented Reality;Augmented dance in Rio de Janeiro: an immersive experience of contemporary dance and augmented reality
3767009717402045;2007;2012;Minas Gerais;Augmented Reality;Título: Realidade Virtual e Realidade Aumentada na Visualização da Informação
3683706649252319;2007;2009;Minas Gerais;Augmented Reality;Realidade Virtual e Realidade Aumentada na Visualização da Informação
9801031941805250;2019;2020;Minas Gerais;Augmented Reality;Amputee-Driven Design and Development of Upper Limb Prosthesis using Virtual-Physical Methodologies
4006878042502781;2019;Atual;Paraná;Augmented Reality;Collective Intelligence and Consensual Task-Allocation: a novel paradigm to Multi-Robot Systems
4791589931798048;2020;Atual;Rio de Janeiro;Mixed Reality;(CNPQ PQ1D) Deep Learning e Aprendizagem de Máquina para Interfaces Tangíveis, Imersão e Composição em Realidade
3191129244573056;2018;2019;Minas Gerais;Mixed Reality;Mixed Reality Aplicada a Visualização de Espaços Físicos
584425766553916;2014;Atual;Rio Grande do Sul;Realidade Aumentada;ARt[in]Muzz
6001559184049370;2019;2020;Bahia;Realidade Aumentada;Realidade Aumentada Espacial - Ateliê de Criação (ATO II)
6001559184049370;2019;2020;Bahia;Realidade Aumentada;Construção dramatúrgica em ambientes híbridos de Dança Digital: Um estudo empírico sobre a estética interativa
6001559184049370;2018;2019;Bahia;Realidade Aumentada;Realidade Aumentada Espacial - Ateliê de Criação
3827444548540732;2022;Atual;Santa Catarina;Realidade Aumentada;Ferramenta de Autoria de Realidade Aumentada na Educação
