lattes id;coordenador;ano inicio;ano fim;titulo
8247753726650305;Nilton Nélio Cometti;2008;2010;TECNOLOGIA DE PRODUÇÃO EM CULTIVO HIDROPÔNICO EM AMBIENTE TROPICAL.
8247753726650305;Nilton Nélio Cometti;2006;2009;Cultivo Hidropônico em Ambiente Tropical - Sistema NFT
8247753726650305;Nilton Nélio Cometti;1999;2003;Nutrição mineral da alface em cultura hidropônica.
2442268371868612;Tales Miler Soares;2012;2014;Aproveitamento de águas salobras em sistemas hidropônicos como alternativa para o Semiárido
2442268371868612;Tales Miler Soares;2012;2014;Uso de águas salobras para produção hidropônica de hortaliças e plantas condimentares e medicinais
913547829667632;marcelo de almeida guimarães;2016;2016;DESEMPENHO PRODUTIVO E FISIOLÓGICO DA ALFACE EM SISTEMA HIDROPÔNICO SOB TEMPERATURA ELEVADA
4390172524223604;Pedro Raffy Vartanian;2022;Atual;Economia, mercado e determinantes de preços dos Non-Fungible Tokens (NFTs): uma análise econométrica
4390172524223604;Pedro Raffy Vartanian;2018;2022;Análise de efeito contágio por meio de modelos multivariados de volatilidade (MGARCH)
4323440096027226;Roberta Marins Nogueira Peil;2004;2011;Cultivo sem solo de hortaliças
4323440096027226;Roberta Marins Nogueira Peil;2004;2011;"Produção de mudas para o cultivo sem solo de hortaliças de fruto
4288520424524936;Eduardo Matos Montezano;2014;2015;Produção de alface em sistema hidropônico.
4288520424524936;Eduardo Matos Montezano;2012;2012;Produção de alface em sistema hidropônico
9817460579453815;Tales Miler Soares;2019;2019;Cultivo hidropônico de couve-flor e brócolis com diferentes temperaturas e salinidades da solução nutritiva
9817460579453815;Hans Raj Gheyi;2019;Atual;Cultivo hidropônico de hortaliças folhosas utilizando soluções nutritivas preparadas com águas salobras à diferentes temperaturas
9817460579453815;Tales Miler Soares;2015;2019;Sazonalidade do cultivo de hortaliças em hidroponia com o uso de águas salobras sob diferentes intervalos para recirculação da solução nutritiva
9817460579453815;Tales Miler Soares;2011;2014;Aproveitamento de águas salobras em sistemas hidropônicos como alternativa para o Semiárido
5318232353145744;André Dias de Azevedo Neto;2019;Atual;Cultivo hidropônico de hortaliças folhosas utilizando soluções nutritivas preparadas com águas salobras à diferentes temperaturas
0988373301929257;Pedro Raffy Vartanian;2022;Atual;Economia, mercado e determinantes de preços dos Non-Fungible Tokens (NFTs): uma análise econométrica
0988373301929257;Pedro Raffy Vartanian;2018;2022;Análise de efeito contágio por meio de modelos multivariados de volatilidade (MGARCH)
2898798354279197;Ancelmo Cazuza Neto;2011;Atual;Aproveitamento de águas salobras em sistemas hidropônicos como alternativa para o Semiárido
5832646831802848;Márcia Rejane de Queiroz Almeida Azevedo;2014;2015;VIABILIDADE DO CULTIVO HIDROPÔNICO DE GENÓTIPOS DE ALFACE COM SOLUÇÕES MINERAIS E ORGANOMINERAIS OTIMIZADAS.
7303795378184706;Enio Farias de França e Silva;2010;2012;Hidroponia Utilizando Águas Salobras nos Cultivos de Agrião e Couve Chinesa
0765870155607320;Hans Raj Gheyi;2019;Atual;Cultivo hidropônico de hortaliças folhosas utilizando soluções nutritivas preparadas com águas salobras à diferentes temperaturas
0765870155607320;Tales Miler Soares;2011;2014;Aproveitamento de águas salobras em sistemas hidropônicos como alternativa para o Semiárido
0765870155607320;Vital Pedro da Silva Paz;2008;2011;Utilização de águas salobras no cultivo de hortaliças em sistema hidropônico como alternativa agrícola condizente ao semi-árido
0765870155607320;None;2008;2010;Reúso de águas de qualidade inferior para aproveitamento hidro-agrícola
0765870155607320;Tales Miler Soares;2005;2007;Construção de unidade experimental para pesquisas envolvendo hidroponia NFT com águas salobras
4562254434288319;Tales Miler Soares;2011;2012;Aproveitamento de águas salobras em sistemas hidropônicos como alternativa para o Semiárido
7743376664986163;Tatiana Tasquetto Fiorin;2017;2018;CULTIVO HIDROPÔNICO DE RÚCULA EM DIFERENTES CONCENTRAÇÕES DE SOLUÇÃO NUTRITIVA E DIFERENTES ÉPOCAS DE PLANTIO
7743376664986163;Tatiana Tasquetto Fiorin;2016;2018;PRODUÇÃO DE ALFACE HIDROPÔNICA EM SISTEMA NFT SOB DIFERENTES TELAS DE SOMBREAMENTO
3264938633156351;None;1999;Atual;Comparação entre três diferentes sistemas de cultivo de morango, convencional, hidropônico horizontal e hidropônico vertical utilizando cinco diferentes substratos.
5657906829078107;Sonia Regina de Souza;2004;2005;Avaliação das alteraçòes metabólicas e dos mecanismos bioquímicos envolvidos com a produção de metabólitos especiais vegetais e seu uso medicinal em plantas de interesse agrícola
8483957397241040;Nilson Alves da Silva Filho;2013;2014;Cultivo Hidropônico de copo-de-leite para flor de corte
0869594394531127;Edvaldo Vieira Pacheco Sant´Ana;2021;2022;Produção do agrião (Nasturtium officinale) no sistema hidropônico NFT (fluxo laminar de nutrientes) e no sistema convencional com compostagem
0869594394531127;José Eustáquio Canguçu Leal;2018;2019;Validação de Modelo de Produção Hidropônica voltado para comunidade de baixa renda utilizando energia solar no município de Palmas -Tocantins
8747310654014392;Ênio Farias de França e Silva;2010;2012;Hidroponia com rejeito de dessalinizadores e com águas subterrâneas salobras para produção de agrião e acelga
8747310654014392;Tales Miler Soares;2008;2010;Reúso de águas de qualidade inferior para aproveitamento hidro-agrícola
5643529038471308;Roberta Marins Nogueira Peil;2007;2008;ACÚMULO DE MATÉRIA SECA E TEORES DE NUTRIENTES EM PLANTAS DE MORANGUEIRO CULTIVADAS EM SISTEMAS DE CULTIVO SEM SOLO
4723573955220516;Ernani Clarete da Silva;2009;2010;Seleção Entre e Dentro de Famílias F4 de Tomateiros para Formato de Fruto Saladete
0246096066199994;Orlando Pereira-Ramirez;2006;2007;Utilização do cultivo hidropônico do tipo NFT no processo de reaproveitamento de efluentes como fetirrigação.
0670733440619145;HENIO NORMANDO DE SOUZA MELO;2004;2006;Tratamento de esgotos sanitários e uso produtivo dos efluentes em fertirrigação e hidroponia
6414436163407553;Roberta Marins Nogueira Peil;2008;Atual;Coordenação do projeto de pesquisa Cultivo sem solo do morangueiro
6414436163407553;Roberta Marins Nogueira Peil;2004;Atual;Coordenação do Projeto Cultivo sem solo de hortaliças
6414436163407553;Roberta Marins Nogueira Peil;2001;2003;Coordenação do projeto de pesquisa Cultivo hidropônico da alface"", registrado no COCEPE com código número 5.01.03.201 e na FAPERGS com processo número 01/1418.6"
