lattes id;coordenador;ano inicio;ano fim;titulo
7224163454715504;Jorge Ferreira da Silva;2009;2017;METARIO - Rede de pesquisa e formação docente em metaversos: desenvolvimento de competências para a docência em administração
3402056676199307;Carlos Pernisa Júnior;2022;Atual;Ambientes narrativos imersivos sonoros
6708662950964;;2023;Atual;AVATARES DIGITAIS DE MARCAS BRASILEIRAS EM METAVERSOS:  a percepção dos consumidores de moda sobre a corporeidade virtual
2878818998061975;Luciana Backes;2014;2016;Os espaços híbridos nos processos de ensinar e de aprender: a presença e a copresença no viver e conviver
2878818998061975;Eliane Schlemmer;2007;2010;ECODI UNISINOS
7341494132245447;;2007;2008;ECODI RICESU
41121834612355;Amarolinda Zanela Saccol;2009;2014;METARIO Rede de Pesquisa e Formação Docente em Metaversos: Desenvolvimento de Competências para a docência em Administração
3914159735707328;Eliane Schlemmer;2010;2012;Anatomia no metaverso Second Life: uma proposta em i-Learning
1866914701962923;Thiago Luiz Berzoini Machado;2017;Atual;Cidade, Memória e Interatividade
9933939386282163;Luís Carlos Petry;2011;2011;O conceito de game acadêmico e a exploração de puzzles em engines tridimensionais
1736294295596552;Laura Graziela Figueiredo Fernandes Gomes;2022;Atual;Os modos de emergência e existência (dos híbridos) na  internet e suas novas fronteiras
2339773434595512;;2013;2014;Desenvolvimento de projetos artísticos no Second Life
9716270626654261;Francisco Petrônio Alencar de Medeiros;2019;2023;Engenharia de Software Educacional
