lattes id;coordenador;ano inicio;ano fim;titulo;type
7224163454715504;Jorge Ferreira da Silva;2009.0;2017;METARIO - Rede de pesquisa e formação docente em metaversos: desenvolvimento de competências para a docência em administração;metaverso
3402056676199307;Carlos Pernisa Júnior;2022.0;Atual;Ambientes narrativos imersivos sonoros;metaverso
6708662950964;;2023.0;Atual;AVATARES DIGITAIS DE MARCAS BRASILEIRAS EM METAVERSOS:  a percepção dos consumidores de moda sobre a corporeidade virtual;metaverso
2878818998061975;Luciana Backes;2014.0;2016;Os espaços híbridos nos processos de ensinar e de aprender: a presença e a copresença no viver e conviver;metaverso
2878818998061975;Eliane Schlemmer;2007.0;2010;ECODI UNISINOS;metaverso
7341494132245447;;2007.0;2008;ECODI RICESU;metaverso
41121834612355;Amarolinda Zanela Saccol;2009.0;2014;METARIO Rede de Pesquisa e Formação Docente em Metaversos: Desenvolvimento de Competências para a docência em Administração;metaverso
3914159735707328;Eliane Schlemmer;2010.0;2012;Anatomia no metaverso Second Life: uma proposta em i-Learning;metaverso
1866914701962923;Thiago Luiz Berzoini Machado;2017.0;Atual;Cidade, Memória e Interatividade;metaverso
9933939386282163;Luís Carlos Petry;2011.0;2011;O conceito de game acadêmico e a exploração de puzzles em engines tridimensionais;metaverso
1736294295596552;Laura Graziela Figueiredo Fernandes Gomes;2022.0;Atual;Os modos de emergência e existência (dos híbridos) na  internet e suas novas fronteiras;metaverso
2339773434595512;;2013.0;2014;Desenvolvimento de projetos artísticos no Second Life;metaverso
9716270626654261;Francisco Petrônio Alencar de Medeiros;2019.0;2023;Engenharia de Software Educacional;metaverso
