lattes id;coordenador;ano inicio;ano fim;titulo;type
584425766553916.0;Nara Cristina Santos;2015.0;Atual;Museu Interativo Arte - Ciência - Tecnologia;AR
4321649532287831.0;Verônica Teichrieb;2018.0;2020;Projeto HP - NonFlatAR;AR
4321649532287831.0;Judith Kelner;2007.0;2011;TechPetro;AR
2672736578186109.0;Eduardo Galembeck;2015.0;2019;Projeto Animálculo;AR
9173006904247472.0;DAVID CORREA MARTINS JUNIOR;2018.0;Atual;[CAPES-Print UFABC] Data Science;AR
4520293519781462.0;Sérgio Murilo Maciel Fernandes;2004.0;2005;Tecnologias da Informação em Apoio ao Ensino Presencial;AR
886941225536719.0;Paulo Tadeu de Souza Figueiredo;2015.0;Atual;Avaliação das alterações osteometabólicas causadas por bisfosfonatos em mandíbulas de ratas por meio do PET/CT.;AR
1790662929908503.0;Luciene Chagas de Oliveira;2020.0;2022;COMPUTAÇÃO APLICADA NA PREVENÇÃO E NO COMBATE A DOENÇAS CAUSADAS POR CORONAVÍRUS E POR OUTROS TIPOS DE VÍRUS (PIBITI 2020/009);AR
4904489502853690.0;Isabel Harb Manssour;2023.0;Atual;Visualização de dados no suporte à análise, exploração e pré-processamento em Ciência de Dados na área da saúde;AR
4904489502853690.0;;2004.0;2004;Pesquisa em armazenamento, processamento e visualização de imagens médicas;AR
6045470959652684.0;Giordano Ribeiro Eulalio Cabral;2013.0;2016;Música, Tecnologia, Interatividade e Criatividade (CNPq Universal 2013);AR
5778704270592010.0;Araci Hack Catapan;2012.0;2019;Metodologias e experiência exitosas na implementação da Rede e-Tec Brasil;AR
4186515742605446.5;Victor Hugo Costa de Albuquerque;2013.0;2017;Sistemas inteligentes aplicados na área biomédica;AR
1916245590298484.8;Veronica Teichrieb;2010.0;2011;Hybrid model based markerless 3D tracking for augmented reality and visual servoing;AR
1522479715721496.0;Ivan Müller;2014.0;2017;Gerenciamento distribuído para handover de dispositivos móveis em redes sem fio industriais;AR
1522479715721496.0;Carlos Eduardo Pereira;2011.0;2016;Eletrônica Embarcada em Equipamentos - E3, subprojeto SA-WH;AR
1168989222280325.0;Paulo Vitor Rodrigues  de Carvalho;2020.0;Atual;Ações Educativas em Resposta a Emergência na Saúde, Indústria e Desastres;AR
1168989222280325.0;Antônio Carlos de Abreu Mól;2019.0;Atual;Realidade Virtual Aplicada na Gerência de Rejeitos Radioativos;AR
1168989222280325.0;SIQUEIRA, ANA PAULA LEGEY DE;2017.0;2019;DESENVOLVIMENTO DAS HABILIDADES DE ALUNOS POR MEIO DA ROBÓTICA EM ATIVIDADES EXTRACURRICULARES: UM ESTUDO DE CASO  EM UMA ESCOLA PARTICULAR NO RIO DE JANEIRO (RJ);AR
1168989222280325.0;Ana Paula Legey de Siqueira;2016.0;Atual;Criação de vídeo 3D, holograma e jogo digital para apresentar a energia solar como fonte de geração de energia elétrica por meio de um espaço de ciência itinerante;AR
5996993884846655.0;Virginia Rodes;2022.0;Atual;Medallas Red Global, un ecosistema de aprendizaje gamificado para desarrollar competencias transversales en el aula;AR
5996993884846655.0;José Valdeni de Lima;2011.0;2012;LWM - Learning While Moving;AR
5996993884846655.0;José Palazzo Moreira de Oliveira;2008.0;2011;Avaliação da qualidade acadêmica baseada em ontologia e mineração de dados na Web;AR
2259041691301555.0;Marcelo da Silva Hounsell;2008.0;2010;Linguagem para programação de robôs;AR
8964123297688432.0;ARTHUR JOSE VIEIRA PORTO;2005.0;2010;Caverna Digital - Laboratório Multiusuário de Visualização 3D Imersiva de São Carlos - Processo Num. 04/09275-3;AR
3216441382223685.0;Florin Popescu;2016.0;2017;SEE.4C - SpatiotEmporal ForEcasting: Coopetition to meet Current Cross-modal Challenges;AR
978647563169137.0;Suhaila Mahmoud Smaili Santos;2021.0;Atual;A especificidade da tarefa - Estimulação Transcraniana por Corrente Contínua associada ao treino de tarefa dupla - pode impactar em ganhos na doença de Parkinson? Um protocolo para um estudo controlado randomizado;AR
3196052576107598.0;BIANCHI, ANDREA G. C.;2019.0;2020;Estudo e desenvolvimento de um arcabouço para teleoperação avançada de equipamentos de mineração: Monitoramento de Correias Transportadoras - FASE II;AR
3196052576107598.0;Saul Emanuel Delabrida Silva;2019.0;Atual;Avaliação do Uso de Realidade Estendida para processos Industriais: Estudo de caso Correias Transportadoras;AR
3196052576107598.0;OLIVEIRA, RICARDO A. RABELO;2015.0;2016;Oiaprocêvê - Operational Personal Computer Vision;AR
5548205054206839.0;Marco Aurélio Wehrmeister;2019.0;Atual;Plataforma Computacional para Sistemas de Aeronaves Não-Tripuladas voltada ao Processo de Inspeção e Manutenção de Redes de Transmissão de Energia;AR
3534918669459073.0;Lucas Ferrari de Oliveira;2012.0;Atual;Análise e Classificação de Patologias Pulmonares em Imagens de Tomografia Computadorizada;AR
2799879318334876.0;Sandra Aparecida Sandri;2012.0;2016;Inteligência Computacional em Análise de Imagens de Radar de Abertura Sintética;AR
5117339495064254.0;Thiago Oliveira dos Santos;2022.0;Atual;Infraestrutura para Projetos interdisciplinares de Informática Aplicada à Saúde;AR
5117339495064254.0;Alberto Ferreira De Souza;2021.0;Atual;Instituto de Inteligência Computacional Aplicada - I2CA;AR
2446301582459104.0;PAIVA, ANSELMO CARDOSO;2022.0;Atual;Inteligência Computacional no Apoio às Ações de Controle Externo - ICCE;AR
2446301582459104.0;Aristófanes Corrêa Silva;2021.0;Atual;Análise e Processamento de Imagens Médicas usando Aprendizagem Profunda;AR
2446301582459104.0;DE ALMEIDA, JOAO DALLYSON SOUSA;2020.0;Atual;Rastreamento automático de deformidades da coluna vertebral em imagens;AR
2446301582459104.0;Anselmo Cardoso de Paiva;2013.0;Atual;Detecção e Diagnóstico de Câncer de Mama e Pulmão Usando Análise de Diversidade e Análise Geométrica;AR
1744732999336375.0;Windson Viana de Carvalho;2016.0;2018;Oficinas de Animação e Jogos Locativos como Fator de Ambientação e Integração entre os Cursos de Graduação em Design, Cinema, Computação e Sistemas e Mídias Digitais da UFC;AR
4682380099012723.0;Luiz Landau;2018.0;2020;PEC-21448-Simulador de Emergência Virtual;AR
9999217523842384.0;Guilherme Bittencourt;2003.0;2007;Projeto Math_net: Uma abordagem via sistemas multiagentes para concepção e realização de ambientes interativos de aprendizagem;AR
875383284956116.0;Mauro Cesar Gurgel de Alencar Carvalho;2003.0;2004;ESTUDOS DE VARIÁVEIS ANTROPOMÉTRICAS EM JUDOCAS;AR
6019497081054686.0;Jose Eurico de Vasconcelos Filho;2019.0;Atual;Fortaleza Digital;AR
6019497081054686.0;BRASIL, CHRISTINA CESAR PRAÇA;2018.0;Atual;Avaliação de um programa de promoção da saúde vocal de professores amparado por tecnologias eHealth - Edital PIBIC/CNPQ/UNIFOR 2018;AR
6019497081054686.0;BRASIL, CHRISTINA CÉSAR PRAÇA;2018.0;Atual;Facebook como ferramenta de apoio ao diagnóstico participativo em Saúde - Edital PROBIC/FEQ 2018;AR
6019497081054686.0;Raimunda Magalhães da Silva;2015.0;Atual;M-Health para a promoção da saúde da mulher - EDITAL PRONEX 02/2015 - PRONEX/FUNCAP/CNPQ;AR
8626964624628522.0;Fátima de Lourdes dos Santos Nunes Marques;2019.0;Atual;Auxílio ao diagnóstico do transtorno do espectro autista;AR
8626964624628522.0;DELAMARO, MARCIO EDUARDO;2017.0;Atual;Teste de mutação aplicado a ambientes de realidade virtual modelados com grafo de cena;AR
1594563006260546.0;Hugo Hernando Andrade Sosa;2012.0;2013;Lineamientos para la formación inicial de docentes en el uso pedagógico de la TIC  - Orientada al mejoramiento e la innovación educativa desde la universidad;AR
1594563006260546.0;Juarez Bento da Silva;2008.0;2009;Utilização da experimentação remota como suporte a ambientes de ensino-aprendizagem na rede pública de ensino;AR
649930882307115.0;Francisco Carlos de Mattos Brito Oliveira;2020.0;Atual;THUNDER (Talent Hunting and Developer Recruitment): Projeto de Capacitação Tecnológica e Descoberta de Talentos em Tecnologia da Informação;AR
5242996146285625.0;Mauricio Fernando Lima Pereira;2009.0;Atual;Desenvolvimento de um computador embarcado, baseado em arquitetura ARM para uso em agricultura de precisão;AR
4903908392101557.0;Guido Lemos de Souza Filho;2000.0;2001;NatalNet - Rede Metropolitana de Alta Velocidade da cidade de Natal;AR
4298412581612921.5;Rafael P. Torchelsen;2011.0;2012;Collaborative interface using augmented reality to visualization of data mapped on three-dimensional structures.;AR
3278791354439256.0;Miburge Bolivar Gois Junior;2017.0;2018;Avaliação do equilíbrio corporal estático e dinâmico e risco de quedas em indivíduos com uma mutação no gene do GHRHR;AR
5065548216266121.0;Thais Vasconcelos Batista;2019.0;Atual;Plataforma Geo-referenciada para Desenvolvimento de Aplicações para Cidades Inteligentes;AR
5515322256604194.0;LUCIENE STAMATO DELAZARI;2022.0;Atual;INTEGRAÇÃO DE DADOS GEOESPACIAIS PARA DESENVOLVIMENTO DE UM SMART CAMPUS;AR
5515322256604194.0;Marcio Augusto Reolon Schmidt;2017.0;2021;VISUALIZAÇÃO CARTOGRÁFICA TRIDIMENSIONAL EM TEMPO REAL APLICADA A NAVEGAÇÃO EM DISPOSITIVOS MÓVEIS;AR
813823100105934.0;COZMAN, FABIO GAGLIARDI;2020.0;Atual;Center for Artificial Intelligence (C4AI);AR
813823100105934.0;Romero Tori;2007.0;2009;FAPESP TIDIA-Ae (fase 2) Aprendizado Eletronico sobre Plataforma de Redes de Alta Velocidade;AR
7367251955373677.0;Regina Ribeiro Cunha;2014.0;Atual;Perfil de Estomizados no Contexto Amazônico (PESCA);AR
2352130203106125.0;Maria Cristina Nascentes Cabral;2021.0;Atual;Cultura Arquitetônica e o Habitat moderno;AR
2352130203106125.0;Andrés  Martin Pássaro;2019.0;2021;Arquitetura em revista: catálogo e exposição de projetos na temática do Congresso da UIA 2020;AR
3010497094377497.0;Rafael Rieder;2022.0;Atual;Metaverso para Educação e Assistência Multidisciplinar em Saúde;AR
3010497094377497.0;ANA CAROLINA BERTOLETTI DE MARCHI;2018.0;2022;Sistema e-Lifestyle: uma solução e-Health para monitoramento das condições de saúde de pacientes hipertensos;AR
3010497094377497.0;Roberto dos Santos Rabello;2012.0;2014;Integração de Técnicas e Metodologias para Implantação de uma Fábrica de Software;AR
3010497094377497.0;Adriano Canabarro Teixeira;2011.0;2013;Tecnologias e Metodologias de Inclusão Digital na Cibercultura: Por uma cultura hacker na educação!;AR
